Id_article;Id_obs;Authors;Title;DOI;Year_of_publication;Experiment_period;Experiment_year;Country;Continent;Study_site;Latitude;Longitude;Geocoordinates;Climate_zone;Soil_type_WRB_USDA;Soil_texture;Soil_pH;Greenhouse;Organic_ferti;Mineral_ferti;Nitrogen_rate;Fert;Herbicide;Insecticide;Fungicide;Pesticide;Irrigation;Intercropping_design;Intercropping_pattern;AF;Additional_factor;Crop_1_Common_Name;Crop_1_Scientific_Name;Crop_1_Variety;Crop_2_Common_Name;Crop_2_Scientific_Name;Crop_2_Variety;Comb_dur;Comb_gf;Comb_Nf;Comb_met;C1_yield_sole;C1_yield_intercrop;C2_yield_sole;C2_yield_intercropped;Yield_total_intercropping_calc;Yield_unit;Yield_measure;Data_location;LER_crop1;LER_crop2;LER_tot;LER_crop_1_calc;LER_crop_2_calc;LER_tot_calc
31;197;Cecílio Filho, A.B., Rezende, B.L.A., Barbosa, J.C., Grangeiro, L.C.;Agronomic efficiency of intercropping tomato and lettuce;10.1590/S0001-37652011000300029;2011;2003-2004;2003;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Exact;Aw;Ferralsols (WRB);Clay (C);5.3;yes;no;yes;Unclear;yes;NA;NA;NA;NA;yes;NA;NA;no;Density 80/20 & Lettuce planted 10 days after tomato transplanting;Lettuce;Lactuca sativa L.;NA;Tomato;Solanum lycopersicum L.;NA;an-an;no-no;no-no;c3-c3;24862.74;27494.79;207353.48;207353.48;234848.27;kg/ha;NA;Table 8;1.106;1;2.106;1.11;1;2.11
31;198;Cecílio Filho, A.B., Rezende, B.L.A., Barbosa, J.C., Grangeiro, L.C.;Agronomic efficiency of intercropping tomato and lettuce;10.1590/S0001-37652011000300029;2011;2003-2004;2003;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Exact;Aw;Ferralsols (WRB);Clay (C);5.3;yes;no;yes;Unclear;yes;NA;NA;NA;NA;yes;NA;NA;no;Density 80/20 & Lettuce planted 20 days after tomato transplanting;Lettuce;Lactuca sativa L.;NA;Tomato;Solanum lycopersicum L.;NA;an-an;no-no;no-no;c3-c3;24862.74;23701.42;207486.81;207486.81;231188.23;kg/ha;NA;Table 8;0.953;1;1.953;0.95;1;1.95
31;199;Cecílio Filho, A.B., Rezende, B.L.A., Barbosa, J.C., Grangeiro, L.C.;Agronomic efficiency of intercropping tomato and lettuce;10.1590/S0001-37652011000300029;2011;2003-2004;2003;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Exact;Aw;Ferralsols (WRB);Clay (C);5.3;yes;no;yes;Unclear;yes;NA;NA;NA;NA;yes;NA;NA;no;Density 80/20 & Lettuce planted 30 days after tomato transplanting;Lettuce;Lactuca sativa L.;NA;Tomato;Solanum lycopersicum L.;NA;an-an;no-no;no-no;c3-c3;24862.74;25535.27;207175.7;207175.7;232710.97;kg/ha;NA;Table 8;1.027;1;2.027;1.03;1;2.03
31;200;Cecílio Filho, A.B., Rezende, B.L.A., Barbosa, J.C., Grangeiro, L.C.;Agronomic efficiency of intercropping tomato and lettuce;10.1590/S0001-37652011000300029;2011;2003-2004;2004;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Exact;Aw;Ferralsols (WRB);Clay (C);6.3;yes;no;yes;Unclear;yes;NA;NA;NA;NA;yes;NA;NA;no;Density 80/20 & Lettuce planted 0 days after tomato transplanting;Lettuce;Lactuca sativa L.;NA;Tomato;Solanum lycopersicum L.;NA;an-an;no-no;no-no;c3-c3;18940.85;14403.89;136265.3;136265.3;150669.19;kg/ha;NA;Table 9;0.76;1;1.76;0.76;1;1.76
31;201;Cecílio Filho, A.B., Rezende, B.L.A., Barbosa, J.C., Grangeiro, L.C.;Agronomic efficiency of intercropping tomato and lettuce;10.1590/S0001-37652011000300029;2011;2003-2004;2004;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Exact;Aw;Ferralsols (WRB);Clay (C);6.3;yes;no;yes;Unclear;yes;NA;NA;NA;NA;yes;NA;NA;no;Density 80/20 & Lettuce planted 10 days after tomato transplanting;Lettuce;Lactuca sativa L.;NA;Tomato;Solanum lycopersicum L.;NA;an-an;no-no;no-no;c3-c3;18940.85;14928.22;122665.44;122665.44;137593.66;kg/ha;NA;Table 9;0.788;1;1.788;0.79;1;1.79
31;202;Cecílio Filho, A.B., Rezende, B.L.A., Barbosa, J.C., Grangeiro, L.C.;Agronomic efficiency of intercropping tomato and lettuce;10.1590/S0001-37652011000300029;2011;2003-2004;2004;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Exact;Aw;Ferralsols (WRB);Clay (C);6.3;yes;no;yes;Unclear;yes;NA;NA;NA;NA;yes;NA;NA;no;Density 80/20 & Lettuce planted 20 days after tomato transplanting;Lettuce;Lactuca sativa L.;NA;Tomato;Solanum lycopersicum L.;NA;an-an;no-no;no-no;c3-c3;18940.85;17905.2;125109.86;125109.86;143015.06;kg/ha;NA;Table 9;0.945;1;1.945;0.95;1;1.95
31;203;Cecílio Filho, A.B., Rezende, B.L.A., Barbosa, J.C., Grangeiro, L.C.;Agronomic efficiency of intercropping tomato and lettuce;10.1590/S0001-37652011000300029;2011;2003-2004;2004;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Exact;Aw;Ferralsols (WRB);Clay (C);6.3;yes;no;yes;Unclear;yes;NA;NA;NA;NA;yes;NA;NA;no;Density 80/20 & Lettuce planted 30 days after tomato transplanting;Lettuce;Lactuca sativa L.;NA;Tomato;Solanum lycopersicum L.;NA;an-an;no-no;no-no;c3-c3;18940.85;18022.19;137109.74;137109.74;155131.93;kg/ha;NA;Table 9;0.951;1;1.951;0.95;1;1.95
32;204;Cecílio Filho, A.B., Rezende, B.L.A., Canato, G.H.D.;Lettuce and radish productivity in intercropping systems as influenced by starting time and row spacings;10.1590/S0102-05362007000100004  ;2007;2004;2004;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Exact;Aw;Ferralsols (WRB);Clay (C);6.1;no;no;yes;Unclear;yes;NA;NA;NA;NA;NA;Replacement;Row;no;Lettuce within row spacing 0.30m and 0 days after transplanting;Lettuce;Lactuca sativa L.;NA;Radish;Raphanus sativus L.;NA;an-an;no-no;no-no;c3-c3;6.1;4.7;1.14;0.9;5.6;kg/m²;NA;Table 4;0.77;0.789;1.56;0.77;0.79;1.56
32;205;Cecílio Filho, A.B., Rezende, B.L.A., Canato, G.H.D.;Lettuce and radish productivity in intercropping systems as influenced by starting time and row spacings;10.1590/S0102-05362007000100004  ;2007;2004;2004;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Exact;Aw;Ferralsols (WRB);Clay (C);6.1;no;no;yes;Unclear;yes;NA;NA;NA;NA;NA;Replacement;Row;no;Lettuce within row spacing 0.30m and 7 days after transplanting;Lettuce;Lactuca sativa L.;NA;Radish;Raphanus sativus L.;NA;an-an;no-no;no-no;c3-c3;6.1;4.4;1.58;1.2;5.6;kg/m²;NA;Table 4;0.721;0.759;1.481;0.72;0.76;1.48
32;206;Cecílio Filho, A.B., Rezende, B.L.A., Canato, G.H.D.;Lettuce and radish productivity in intercropping systems as influenced by starting time and row spacings;10.1590/S0102-05362007000100004  ;2007;2004;2004;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Exact;Aw;Ferralsols (WRB);Clay (C);6.1;no;no;yes;Unclear;yes;NA;NA;NA;NA;NA;Replacement;Row;no;Lettuce within row spacing 0.30m and 14 days after transplanting;Lettuce;Lactuca sativa L.;NA;Radish;Raphanus sativus L.;NA;an-an;no-no;no-no;c3-c3;6.1;3.5;1.54;1.6;5.1;kg/m²;NA;Table 4;0.574;1.039;1.613;0.57;1.04;1.61
32;207;Cecílio Filho, A.B., Rezende, B.L.A., Canato, G.H.D.;Lettuce and radish productivity in intercropping systems as influenced by starting time and row spacings;10.1590/S0102-05362007000100004  ;2007;2004;2004;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Exact;Aw;Ferralsols (WRB);Clay (C);6.1;no;no;yes;Unclear;yes;NA;NA;NA;NA;NA;Replacement;Row;no;Lettuce within row spacing 0.40m and 0 days after transplanting;Lettuce;Lactuca sativa L.;NA;Radish;Raphanus sativus L.;NA;an-an;no-no;no-no;c3-c3;4.9;4.8;1.1;0.6;5.4;kg/m²;NA;Table 4;0.98;0.545;1.525;0.98;0.55;1.53
32;208;Cecílio Filho, A.B., Rezende, B.L.A., Canato, G.H.D.;Lettuce and radish productivity in intercropping systems as influenced by starting time and row spacings;10.1590/S0102-05362007000100004  ;2007;2004;2004;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Exact;Aw;Ferralsols (WRB);Clay (C);6.1;no;no;yes;Unclear;yes;NA;NA;NA;NA;NA;Replacement;Row;no;Lettuce within row spacing 0.40m and 7 days after transplanting;Lettuce;Lactuca sativa L.;NA;Radish;Raphanus sativus L.;NA;an-an;no-no;no-no;c3-c3;4.9;3.7;1.4;0.8;4.5;kg/m²;NA;Table 4;0.755;0.571;1.327;0.76;0.57;1.33
32;209;Cecílio Filho, A.B., Rezende, B.L.A., Canato, G.H.D.;Lettuce and radish productivity in intercropping systems as influenced by starting time and row spacings;10.1590/S0102-05362007000100004  ;2007;2004;2004;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Exact;Aw;Ferralsols (WRB);Clay (C);6.1;no;no;yes;Unclear;yes;NA;NA;NA;NA;NA;Replacement;Row;no;Lettuce within row spacing 0.40m and 14 days after transplanting;Lettuce;Lactuca sativa L.;NA;Radish;Raphanus sativus L.;NA;an-an;no-no;no-no;c3-c3;4.9;3.6;1.5;1;4.6;kg/m²;NA;Table 4;0.735;0.667;1.401;0.73;0.67;1.4
33;210;Cecílio Filho, A.B., Rezende, B.L.A., Costa, C.C.;Economic analysis of the intercropping of lettuce and tomato in different seasons under protected cultivation;10.1590/S0102-05362010000300015;2010;2003-2004;2003;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Estimated;Aw;Ferralsols (WRB);Clay (C);NA;no;NA;yes;NA;yes;yes;no;yes;yes;yes;NA;NA;no;Lettuce transplanted 0 days after tomato;Tomato;Solanum lycopersicum L.;NA;Lettuce;Lactuca sativa L.;NA;an-an;no-no;no-no;c3-c3;12.5;12.7;1.2;1.1;13.8;t/614.4m²;NA;Table 5;1.016;0.917;1.933;1.02;0.92;1.93
33;211;Cecílio Filho, A.B., Rezende, B.L.A., Costa, C.C.;Economic analysis of the intercropping of lettuce and tomato in different seasons under protected cultivation;10.1590/S0102-05362010000300015;2010;2003-2004;2003;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Estimated;Aw;Ferralsols (WRB);Clay (C);NA;no;NA;yes;NA;yes;yes;no;yes;yes;yes;NA;NA;no;Lettuce transplanted 10 days after tomato;Tomato;Solanum lycopersicum L.;NA;Lettuce;Lactuca sativa L.;NA;an-an;no-no;no-no;c3-c3;12.5;12.4;1.4;1.2;13.6;t/614.4m²;NA;Table 5;0.992;0.857;1.849;0.99;0.86;1.85
33;212;Cecílio Filho, A.B., Rezende, B.L.A., Costa, C.C.;Economic analysis of the intercropping of lettuce and tomato in different seasons under protected cultivation;10.1590/S0102-05362010000300015;2010;2003-2004;2003;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Estimated;Aw;Ferralsols (WRB);Clay (C);NA;no;NA;yes;NA;yes;yes;no;yes;yes;yes;NA;NA;no;Lettuce transplanted 20 days after tomato;Tomato;Solanum lycopersicum L.;NA;Lettuce;Lactuca sativa L.;NA;an-an;no-no;no-no;c3-c3;12.5;11.8;1.4;1;12.8;t/614.4m²;NA;Table 5;0.944;0.714;1.658;0.94;0.71;1.66
33;213;Cecílio Filho, A.B., Rezende, B.L.A., Costa, C.C.;Economic analysis of the intercropping of lettuce and tomato in different seasons under protected cultivation;10.1590/S0102-05362010000300015;2010;2003-2004;2003;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Estimated;Aw;Ferralsols (WRB);Clay (C);NA;no;NA;yes;NA;yes;yes;no;yes;yes;yes;NA;NA;no;Lettuce transplanted 30 days after tomato;Tomato;Solanum lycopersicum L.;NA;Lettuce;Lactuca sativa L.;NA;an-an;no-no;no-no;c3-c3;12.5;12.6;1.6;0.6;13.2;t/614.4m²;NA;Table 5;1.008;0.375;1.383;1.01;0.38;1.38
33;214;Cecílio Filho, A.B., Rezende, B.L.A., Costa, C.C.;Economic analysis of the intercropping of lettuce and tomato in different seasons under protected cultivation;10.1590/S0102-05362010000300015;2010;2003-2004;2004;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Estimated;Aw;Ferralsols (WRB);Clay (C);NA;no;NA;yes;NA;yes;yes;no;yes;yes;yes;NA;NA;no;Lettuce transplanted 0 days after tomato;Tomato;Solanum lycopersicum L.;NA;Lettuce;Lactuca sativa L.;NA;an-an;no-no;no-no;c3-c3;9;8.5;1.2;0.6;9.1;t/614.4m²;NA;Table 5;0.944;0.5;1.444;0.94;0.5;1.44
33;215;Cecílio Filho, A.B., Rezende, B.L.A., Costa, C.C.;Economic analysis of the intercropping of lettuce and tomato in different seasons under protected cultivation;10.1590/S0102-05362010000300015;2010;2003-2004;2004;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Estimated;Aw;Ferralsols (WRB);Clay (C);NA;no;NA;yes;NA;yes;yes;no;yes;yes;yes;NA;NA;no;Lettuce transplanted 10 days after tomato;Tomato;Solanum lycopersicum L.;NA;Lettuce;Lactuca sativa L.;NA;an-an;no-no;no-no;c3-c3;9;8.1;0.9;0.2;8.3;t/614.4m²;NA;Table 5;0.9;0.222;1.122;0.9;0.22;1.12
33;216;Cecílio Filho, A.B., Rezende, B.L.A., Costa, C.C.;Economic analysis of the intercropping of lettuce and tomato in different seasons under protected cultivation;10.1590/S0102-05362010000300015;2010;2003-2004;2004;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Estimated;Aw;Ferralsols (WRB);Clay (C);NA;no;NA;yes;NA;yes;yes;no;yes;yes;yes;NA;NA;no;Lettuce transplanted 20 days after tomato;Tomato;Solanum lycopersicum L.;NA;Lettuce;Lactuca sativa L.;NA;an-an;no-no;no-no;c3-c3;9;8.2;0.8;0.2;8.4;t/614.4m²;NA;Table 5;0.911;0.25;1.161;0.91;0.25;1.16
33;217;Cecílio Filho, A.B., Rezende, B.L.A., Costa, C.C.;Economic analysis of the intercropping of lettuce and tomato in different seasons under protected cultivation;10.1590/S0102-05362010000300015;2010;2003-2004;2004;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Estimated;Aw;Ferralsols (WRB);Clay (C);NA;no;NA;yes;NA;yes;yes;no;yes;yes;yes;NA;NA;no;Lettuce transplanted 30 days after tomato;Tomato;Solanum lycopersicum L.;NA;Lettuce;Lactuca sativa L.;NA;an-an;no-no;no-no;c3-c3;9;8.9;0.7;0.2;9.1;t/614.4m²;NA;Table 5;0.989;0.286;1.275;0.99;0.29;1.27
33;218;Cecílio Filho, A.B., Rezende, B.L.A., Costa, C.C.;Economic analysis of the intercropping of lettuce and tomato in different seasons under protected cultivation;10.1590/S0102-05362010000300015;2010;2003-2004;2003;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Estimated;Aw;Ferralsols (WRB);Clay (C);NA;no;NA;yes;NA;yes;yes;no;yes;yes;yes;NA;NA;no;Tomato transplanted 0 days after lettuce;Lettuce;Lactuca sativa L.;NA;Tomato;Solanum lycopersicum L.;NA;an-an;no-no;no-no;c3-c3;1.5;1.6;13.1;13.1;14.7;t/614.4m²;NA;Table 5;1.067;1;2.067;1.07;1;2.07
33;219;Cecílio Filho, A.B., Rezende, B.L.A., Costa, C.C.;Economic analysis of the intercropping of lettuce and tomato in different seasons under protected cultivation;10.1590/S0102-05362010000300015;2010;2003-2004;2003;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Estimated;Aw;Ferralsols (WRB);Clay (C);NA;no;NA;yes;NA;yes;yes;no;yes;yes;yes;NA;NA;no;Tomato transplanted 10 days after lettuce;Lettuce;Lactuca sativa L.;NA;Tomato;Solanum lycopersicum L.;NA;an-an;no-no;no-no;c3-c3;1.5;1.7;12.8;12.7;14.4;t/614.4m²;NA;Table 5;1.133;0.992;2.126;1.13;0.99;2.13
33;220;Cecílio Filho, A.B., Rezende, B.L.A., Costa, C.C.;Economic analysis of the intercropping of lettuce and tomato in different seasons under protected cultivation;10.1590/S0102-05362010000300015;2010;2003-2004;2003;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Estimated;Aw;Ferralsols (WRB);Clay (C);NA;no;NA;yes;NA;yes;yes;no;yes;yes;yes;NA;NA;no;Tomato transplanted 20 days after lettuce;Lettuce;Lactuca sativa L.;NA;Tomato;Solanum lycopersicum L.;NA;an-an;no-no;no-no;c3-c3;1.5;1.5;12.8;12.7;14.2;t/614.4m²;NA;Table 5;1;0.992;1.992;1;0.99;1.99
33;221;Cecílio Filho, A.B., Rezende, B.L.A., Costa, C.C.;Economic analysis of the intercropping of lettuce and tomato in different seasons under protected cultivation;10.1590/S0102-05362010000300015;2010;2003-2004;2003;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Estimated;Aw;Ferralsols (WRB);Clay (C);NA;no;NA;yes;NA;yes;yes;no;yes;yes;yes;NA;NA;no;Tomato transplanted 30 days after lettuce;Lettuce;Lactuca sativa L.;NA;Tomato;Solanum lycopersicum L.;NA;an-an;no-no;no-no;c3-c3;1.5;1.6;12.7;12.7;14.3;t/614.4m²;NA;Table 5;1.067;1;2.067;1.07;1;2.07
33;222;Cecílio Filho, A.B., Rezende, B.L.A., Costa, C.C.;Economic analysis of the intercropping of lettuce and tomato in different seasons under protected cultivation;10.1590/S0102-05362010000300015;2010;2003-2004;2004;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Estimated;Aw;Ferralsols (WRB);Clay (C);NA;no;NA;yes;NA;yes;yes;no;yes;yes;yes;NA;NA;no;Tomato transplanted 0 days after lettuce;Lettuce;Lactuca sativa L.;NA;Tomato;Solanum lycopersicum L.;NA;an-an;no-no;no-no;c3-c3;1.2;0.9;7.9;8.4;9.3;t/614.4m²;NA;Table 5;0.75;1.063;1.813;0.75;1.06;1.81
33;223;Cecílio Filho, A.B., Rezende, B.L.A., Costa, C.C.;Economic analysis of the intercropping of lettuce and tomato in different seasons under protected cultivation;10.1590/S0102-05362010000300015;2010;2003-2004;2004;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Estimated;Aw;Ferralsols (WRB);Clay (C);NA;no;NA;yes;NA;yes;yes;no;yes;yes;yes;NA;NA;no;Tomato transplanted 10 days after lettuce;Lettuce;Lactuca sativa L.;NA;Tomato;Solanum lycopersicum L.;NA;an-an;no-no;no-no;c3-c3;1.2;0.9;7.5;7.6;8.5;t/614.4m²;NA;Table 5;0.75;1.013;1.763;0.75;1.01;1.76
33;224;Cecílio Filho, A.B., Rezende, B.L.A., Costa, C.C.;Economic analysis of the intercropping of lettuce and tomato in different seasons under protected cultivation;10.1590/S0102-05362010000300015;2010;2003-2004;2004;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Estimated;Aw;Ferralsols (WRB);Clay (C);NA;no;NA;yes;NA;yes;yes;no;yes;yes;yes;NA;NA;no;Tomato transplanted 20 days after lettuce;Lettuce;Lactuca sativa L.;NA;Tomato;Solanum lycopersicum L.;NA;an-an;no-no;no-no;c3-c3;1.2;1.1;7.9;7.7;8.8;t/614.4m²;NA;Table 5;0.917;0.975;1.891;0.92;0.97;1.89
33;225;Cecílio Filho, A.B., Rezende, B.L.A., Costa, C.C.;Economic analysis of the intercropping of lettuce and tomato in different seasons under protected cultivation;10.1590/S0102-05362010000300015;2010;2003-2004;2004;Brazil;Latin America & Caribbean;São Paulo State University, Jaboticabal, São Paulo, Brazil;-21.2561111;-48.2661111111111;Estimated;Aw;Ferralsols (WRB);Clay (C);NA;no;NA;yes;NA;yes;yes;no;yes;yes;yes;NA;NA;no;Tomato transplanted 30 days after lettuce;Lettuce;Lactuca sativa L.;NA;Tomato;Solanum lycopersicum L.;NA;an-an;no-no;no-no;c3-c3;1.2;1.1;8.3;8.4;9.5;t/614.4m²;NA;Table 5;0.917;1.012;1.929;0.92;1.01;1.93
34;226;Cenupukdee, U and Fukai, S;Cassava legume intercropping with contrasting cassava cultivars .1. competition between component crops under 3 intercropping conditions;10.1016/0378-4290(92)90082-K;1992;1985-1986;1985-1987;Australia;East Asia & Pacific;University of Queensland Research Station, Redland Bay, south-east Queensland;-27.6166667;153.283333333333;Exact;Cfa;NA;Loam (L);NA;no;no;yes;50;yes;NA;NA;NA;yes;NA;Additive;Strip;no;Mcol 1468;Cassava;Manihot esculenta Crantz;NA;Pigeon pea;Cajanus cajan L. Millsp.;NA;per-per;no-no;no-yes;c3-c3;677;NA;NA;NA;NA;g/m²;Tuber dry weight;Table 3;0.17;0.61;0.78;NA;NA;NA
34;227;Cenupukdee, U and Fukai, S;Cassava legume intercropping with contrasting cassava cultivars .1. competition between component crops under 3 intercropping conditions;10.1016/0378-4290(92)90082-K;1992;1985-1986;1985-1987;Australia;East Asia & Pacific;University of Queensland Research Station, Redland Bay, south-east Queensland;-27.6166667;153.283333333333;Exact;Cfa;NA;Loam (L);NA;no;no;yes;50;yes;NA;NA;NA;yes;NA;Additive;Strip;no;SM1-150;Cassava;Manihot esculenta Crantz;NA;Pigeon pea;Cajanus cajan L. Millsp.;NA;per-per;no-no;no-yes;c3-c3;880;NA;NA;NA;NA;g/m²;Tuber dry weight;Table 3;0.16;0.86;1.02;NA;NA;NA
34;228;Cenupukdee, U and Fukai, S;Cassava legume intercropping with contrasting cassava cultivars .1. competition between component crops under 3 intercropping conditions;10.1016/0378-4290(92)90082-K;1992;1985-1986;1985-1987;Australia;East Asia & Pacific;University of Queensland Research Station, Redland Bay, south-east Queensland;-27.6166667;153.283333333333;Exact;Cfa;NA;Loam (L);NA;no;no;yes;50;yes;NA;NA;NA;yes;NA;Additive;Strip;no;Ceiba;Cassava;Manihot esculenta Crantz;NA;Pigeon pea;Cajanus cajan L. Millsp.;NA;per-per;no-no;no-yes;c3-c3;343;NA;NA;NA;NA;g/m²;Tuber dry weight;Table 3;0.11;0.61;0.73;NA;NA;NA
34;229;Cenupukdee, U and Fukai, S;Cassava legume intercropping with contrasting cassava cultivars .1. competition between component crops under 3 intercropping conditions;10.1016/0378-4290(92)90082-K;1992;1985-1986;1985-1987;Australia;East Asia & Pacific;University of Queensland Research Station, Redland Bay, south-east Queensland;-27.6166667;153.283333333333;Exact;Cfa;NA;Loam (L);NA;no;no;yes;50;yes;NA;NA;NA;yes;NA;Additive;Strip;no;MAus 7;Cassava;Manihot esculenta Crantz;NA;Pigeon pea;Cajanus cajan L. Millsp.;NA;per-per;no-no;no-yes;c3-c3;668;NA;NA;NA;NA;g/m²;Tuber dry weight;Table 3;0.16;0.69;0.85;NA;NA;NA
34;230;Cenupukdee, U and Fukai, S;Cassava legume intercropping with contrasting cassava cultivars .1. competition between component crops under 3 intercropping conditions;10.1016/0378-4290(92)90082-K;1996;1985-1986;1985-1987;Australia;East Asia & Pacific;University of Queensland Research Station, Redland Bay, south-east Queensland;-27.6166667;153.283333333333;Exact;Cfa;NA;Loam (L);NA;no;no;yes;50;yes;NA;NA;NA;yes;NA;Additive;Strip;no;MAus 10;Cassava;Manihot esculenta Crantz;NA;Pigeon pea;Cajanus cajan L. Millsp.;NA;per-per;no-no;no-yes;c3-c3;578;NA;NA;NA;NA;g/m²;Tuber dry weight;Table 3;0.23;0.66;0.89;NA;NA;NA
34;231;Cenupukdee, U and Fukai, S;Cassava legume intercropping with contrasting cassava cultivars .1. competition between component crops under 3 intercropping conditions;10.1016/0378-4290(92)90082-K;1997;1985-1986;1985-1987;Australia;East Asia & Pacific;University of Queensland Research Station, Redland Bay, south-east Queensland;-27.6166667;153.283333333333;Exact;Cfa;NA;Loam (L);NA;no;no;yes;50;yes;NA;NA;NA;yes;NA;Additive;Strip;no;MMex 59;Cassava;Manihot esculenta Crantz;NA;Pigeon pea;Cajanus cajan L. Millsp.;NA;per-per;no-no;no-yes;c3-c3;411;NA;NA;NA;NA;g/m²;Tuber dry weight;Table 3;0.1;0.64;0.74;NA;NA;NA
34;232;Cenupukdee, U and Fukai, S;Cassava legume intercropping with contrasting cassava cultivars .1. competition between component crops under 3 intercropping conditions;10.1016/0378-4290(92)90082-K;1998;1985-1986;1985-1987;Australia;East Asia & Pacific;University of Queensland Research Station, Redland Bay, south-east Queensland;-27.6166667;153.283333333333;Exact;Cfa;NA;Loam (L);NA;no;no;yes;50;yes;NA;NA;NA;yes;NA;Additive;Strip;no;MAus 19;Cassava;Manihot esculenta Crantz;NA;Pigeon pea;Cajanus cajan L. Millsp.;NA;per-per;no-no;no-yes;c3-c3;501;NA;NA;NA;NA;g/m²;Tuber dry weight;Table 3;0.08;0.81;0.89;NA;NA;NA
35;233;Chabi-Olaye, Adenirin and Nolte, Christian and Schulthess, Fritz and Borgemeister, Christian;Relationships of soil fertility and stem borers damage to yield in maize-based cropping system in cameroon;10.1080/00379271.2006.10697481;2006;2004;2004;Cameroon;Sub-Saharan Africa;Nkometou;4.0833333;11.55;Exact;Aw;NA;NA;5.6;no;NA;NA;NA;NA;no;no;no;no;NA;Replacement;Mixed;no;NA;Maize;Zea mays L.;NA;Cassava;Manihot esculenta Crantz;NA;an-per;no-no;no-no;c4-c3;4.54;1.637;NA;16.024;17.661;t/ha;Grain dry matter;Table 6;NA;NA;NA;0.36;NA;NA
35;234;Chabi-Olaye, Adenirin and Nolte, Christian and Schulthess, Fritz and Borgemeister, Christian;Relationships of soil fertility and stem borers damage to yield in maize-based cropping system in cameroon;10.1080/00379271.2006.10697481;2006;2004;2004;Cameroon;Sub-Saharan Africa;Nkometou;4.0833333;11.55;Exact;Aw;NA;NA;5.6;no;NA;NA;NA;NA;no;no;no;no;NA;Replacement;Mixed;no;Maize/cassava+N;Maize;Zea mays L.;NA;Cassava;Manihot esculenta Crantz;NA;an-per;no-no;no-no;c4-c3;4.54;2.126;NA;20.413;22.539;t/ha;Grain dry matter;Table 6;NA;NA;NA;0.47;NA;NA
