Id_article;Id_obs;Authors;Title;DOI;Year_of_publication;Experiment_period;Experiment_year;Country;Continent;Study_site;Latitude;Longitude;Geocoordinates;Climate_zone;Soil_type_WRB_USDA;Soil_texture;Soil_pH;Greenhouse;Organic_ferti;Mineral_ferti;Nitrogen_rate;Fert;Herbicide;Insecticide;Fungicide;Pesticide;Irrigation;Intercropping_design;Intercropping_pattern;AF;Additional_factor;Crop_1_Common_Name;Crop_1_Scientific_Name;Crop_1_Variety;Crop_2_Common_Name;Crop_2_Scientific_Name;Crop_2_Variety;Comb_dur;Comb_gf;Comb_Nf;Comb_met;C1_yield_sole;C1_yield_intercrop;C2_yield_sole;C2_yield_intercropped;Yield_total_intercropping_calc;Yield_unit;Yield_measure;Data_location;LER_crop1;LER_crop2;LER_tot;LER_crop_1_calc;LER_crop_2_calc;LER_tot_calc
3;11;Abdel-Wahab, Sherif Ibrahim and Abdel-Wahab, Eman Ibrahim;Cropping Systems of Fenugreek with Faba Bean to Reduce Broomrape Infestation;10.18805/LR-621;2021;2017-2019;2017-2018;Egypt;Middle East & North Africa;Giza Agricultural Research Station (Lat. 30°002 303 N, Long. 31°122 433 E, 26 m a.s.l), Agricultural Research Center, Giza, Egypt during;30.1175;33.1536111111111;Exact;BWh;NA;NA;NA;NA;no;yes;Unclear;yes;NA;NA;NA;NA;yes;Additive;Row;no;Narrow ridges 50/50;Fava bean;Vicia faba L.;NA;Fenugreek;Trigonella foenum-graecum L.;NA;an-an;no-no;yes-yes;c3-c3;771;1633;701.07;367.86;2000.86;kg/ha;Seed yield;Table 3 and 4;2.11;0.52;2.63;2.12;0.52;2.64
3;12;Abdel-Wahab, Sherif Ibrahim and Abdel-Wahab, Eman Ibrahim;Cropping Systems of Fenugreek with Faba Bean to Reduce Broomrape Infestation;10.18805/LR-621;2021;2017-2019;2017-2018;Egypt;Middle East & North Africa;Giza Agricultural Research Station (Lat. 30°002 303 N, Long. 31°122 433 E, 26 m a.s.l), Agricultural Research Center, Giza, Egypt during;30.1175;33.1536111111111;Exact;BWh;NA;NA;NA;NA;no;yes;Unclear;yes;NA;NA;NA;NA;yes;Additive;Strip;no;Narrow ridges 50/100;Fava bean;Vicia faba L.;NA;Fenugreek;Trigonella foenum-graecum L.;NA;an-an;no-no;yes-yes;c3-c3;771;1927;701.07;652.11;2579.11;kg/ha;Seed yield;Table 3 and 4;2.49;0.93;3.42;2.5;0.93;3.43
3;13;Abdel-Wahab, Sherif Ibrahim and Abdel-Wahab, Eman Ibrahim;Cropping Systems of Fenugreek with Faba Bean to Reduce Broomrape Infestation;10.18805/LR-621;2021;2017-2019;2017-2018;Egypt;Middle East & North Africa;Giza Agricultural Research Station (Lat. 30°002 303 N, Long. 31°122 433 E, 26 m a.s.l), Agricultural Research Center, Giza, Egypt during;30.1175;33.1536111111111;Exact;BWh;NA;NA;NA;NA;no;yes;Unclear;yes;NA;NA;NA;NA;yes;Additive;Strip;no;Narrow ridges 100/50;Fava bean;Vicia faba L.;NA;Fenugreek;Trigonella foenum-graecum L.;NA;an-an;no-no;yes-yes;c3-c3;771;2034;701.07;288.47;2322.47;kg/ha;Seed yield;Table 3 and 4;2.63;0.41;3.04;2.64;0.41;3.05
3;14;Abdel-Wahab, Sherif Ibrahim and Abdel-Wahab, Eman Ibrahim;Cropping Systems of Fenugreek with Faba Bean to Reduce Broomrape Infestation;10.18805/LR-621;2021;2017-2019;2017-2018;Egypt;Middle East & North Africa;Giza Agricultural Research Station (Lat. 30°002 303 N, Long. 31°122 433 E, 26 m a.s.l), Agricultural Research Center, Giza, Egypt during;30.1175;33.1536111111111;Exact;BWh;NA;NA;NA;NA;no;yes;Unclear;yes;NA;NA;NA;NA;yes;Additive;Strip;no;Narrow ridges 100/100;Fava bean;Vicia faba L.;NA;Fenugreek;Trigonella foenum-graecum L.;NA;an-an;no-no;yes-yes;c3-c3;771;2238;701.07;561.61;2799.61;kg/ha;Seed yield;Table 3 and 4;2.9;0.8;3.7;2.9;0.8;3.7
3;15;Abdel-Wahab, Sherif Ibrahim and Abdel-Wahab, Eman Ibrahim;Cropping Systems of Fenugreek with Faba Bean to Reduce Broomrape Infestation;10.18805/LR-621;2021;2017-2019;2017-2018;Egypt;Middle East & North Africa;Giza Agricultural Research Station (Lat. 30°002 303 N, Long. 31°122 433 E, 26 m a.s.l), Agricultural Research Center, Giza, Egypt during;30.1175;33.1536111111111;Exact;BWh;NA;NA;NA;NA;no;yes;Unclear;yes;NA;NA;NA;NA;yes;Replacement;Strip;no;Wide ridges 50/50;Fava bean;Vicia faba L.;NA;Fenugreek;Trigonella foenum-graecum L.;NA;an-an;no-no;yes-yes;c3-c3;771;1957;701.07;426.72;2383.72;kg/ha;Seed yield;Table 3 and 4;2.53;0.6;3.13;2.54;0.61;3.15
3;16;Abdel-Wahab, Sherif Ibrahim and Abdel-Wahab, Eman Ibrahim;Cropping Systems of Fenugreek with Faba Bean to Reduce Broomrape Infestation;10.18805/LR-621;2021;2017-2019;2017-2018;Egypt;Middle East & North Africa;Giza Agricultural Research Station (Lat. 30°002 303 N, Long. 31°122 433 E, 26 m a.s.l), Agricultural Research Center, Giza, Egypt during;30.1175;33.1536111111111;Exact;BWh;NA;NA;NA;NA;no;yes;Unclear;yes;NA;NA;NA;NA;yes;Replacement;Strip;no;Wide ridges 50/100;Fava bean;Vicia faba L.;NA;Fenugreek;Trigonella foenum-graecum L.;NA;an-an;no-no;yes-yes;c3-c3;771;2303;701.07;720.97;3023.97;kg/ha;Seed yield;Table 3 and 4;2.98;1.02;4;2.99;1.03;4.02
3;17;Abdel-Wahab, Sherif Ibrahim and Abdel-Wahab, Eman Ibrahim;Cropping Systems of Fenugreek with Faba Bean to Reduce Broomrape Infestation;10.18805/LR-621;2021;2017-2019;2017-2018;Egypt;Middle East & North Africa;Giza Agricultural Research Station (Lat. 30°002 303 N, Long. 31°122 433 E, 26 m a.s.l), Agricultural Research Center, Giza, Egypt during;30.1175;33.1536111111111;Exact;BWh;NA;NA;NA;NA;no;yes;Unclear;yes;NA;NA;NA;NA;yes;Replacement;Strip;no;Wide ridges 100/50;Fava bean;Vicia faba L.;NA;Fenugreek;Trigonella foenum-graecum L.;NA;an-an;no-no;yes-yes;c3-c3;771;2356;701.07;392.15;2748.15;kg/ha;Seed yield;Table 3 and 4;3.05;0.55;3.6;3.06;0.56;3.62
3;18;Abdel-Wahab, Sherif Ibrahim and Abdel-Wahab, Eman Ibrahim;Cropping Systems of Fenugreek with Faba Bean to Reduce Broomrape Infestation;10.18805/LR-621;2021;2017-2019;2017-2018;Egypt;Middle East & North Africa;Giza Agricultural Research Station (Lat. 30°002 303 N, Long. 31°122 433 E, 26 m a.s.l), Agricultural Research Center, Giza, Egypt during;30.1175;33.1536111111111;Exact;BWh;NA;NA;NA;NA;no;yes;Unclear;yes;NA;NA;NA;NA;yes;Replacement;Strip;no;Wide ridges 100/100;Fava bean;Vicia faba L.;NA;Fenugreek;Trigonella foenum-graecum L.;NA;an-an;no-no;yes-yes;c3-c3;771;2642;701.07;686.05;3328.05;kg/ha;Seed yield;Table 3 and 4;3.42;0.97;4.39;3.43;0.98;4.41
3;19;Abdel-Wahab, Sherif Ibrahim and Abdel-Wahab, Eman Ibrahim;Cropping Systems of Fenugreek with Faba Bean to Reduce Broomrape Infestation;10.18805/LR-621;2021;2017-2019;2018-2019;Egypt;Middle East & North Africa;Giza Agricultural Research Station (Lat. 30°002 303 N, Long. 31°122 433 E, 26 m a.s.l), Agricultural Research Center, Giza, Egypt during;30.1175;33.1536111111111;Exact;BWh;NA;NA;NA;NA;no;yes;Unclear;yes;NA;NA;NA;NA;yes;Additive;Row;no;Narrow ridges 50/50;Fava bean;Vicia faba L.;NA;Fenugreek;Trigonella foenum-graecum L.;NA;an-an;no-no;yes-yes;c3-c3;746;1081;676.24;331.98;1412.98;kg/ha;Seed yield;Table 3 and 4;1.44;0.49;1.93;1.45;0.49;1.94
3;20;Abdel-Wahab, Sherif Ibrahim and Abdel-Wahab, Eman Ibrahim;Cropping Systems of Fenugreek with Faba Bean to Reduce Broomrape Infestation;10.18805/LR-621;2021;2017-2019;2018-2019;Egypt;Middle East & North Africa;Giza Agricultural Research Station (Lat. 30°002 303 N, Long. 31°122 433 E, 26 m a.s.l), Agricultural Research Center, Giza, Egypt during;30.1175;33.1536111111111;Exact;BWh;NA;NA;NA;NA;no;yes;Unclear;yes;NA;NA;NA;NA;yes;Additive;Strip;no;Narrow ridges 50/100;Fava bean;Vicia faba L.;NA;Fenugreek;Trigonella foenum-graecum L.;NA;an-an;no-no;yes-yes;c3-c3;746;1268;676.24;618.85;1886.85;kg/ha;Seed yield;Table 3 and 4;1.69;0.91;2.6;1.7;0.92;2.61
