fpid,type,search_equations_wos,nb_papers_wos,date_of_search_wos,search_equations_scopus,nb_papers_scopus,date_of_search_scopus,nb_papers_after_merging
Conservation agriculture systems,Search 4 (Conservation agriculture and no/reduced/minimum tillage),"Topic: ((""conservation"" NEAR ""agriculture"") OR (""no"" NEAR ""till*"") OR (""reduce*"" NEAR ""till*"") OR (""minimum"" NEAR ""till*"")) AND Topic: ((""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis""))",NA,01/09/2021,"TITLE-ABS-KEY((""conservation"" W/ ""agriculture"") OR (""no"" W/ ""till*"") OR (""reduce*"" W/ ""till*"") OR (""minimum"" W/ ""till*"")) AND TITLE-ABS-KEY((""meta-analy*""  OR ""systematic* review*""  OR ""evidence map""  OR ""global synthesis""  OR ""evidence synthesis""  OR ""research synthesis""))",NA,01/09/2021,NA
Conservation agriculture systems,Search 5 (Conservation agriculture and no/reduced/minimum/zero tillage),"Topic: ((""conservation"" NEAR ""agriculture"") OR (""no"" NEAR ""till*"") OR (""reduce*"" NEAR ""till*"") OR (""minimum"" NEAR ""till*"") OR (""zero"" NEAR ""till*"")) AND Topic: ((""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis""))",NA,01/09/2021,"TITLE-ABS-KEY((""conservation"" W/ ""agriculture"") OR (""no"" W/ ""till*"") OR (""reduce*"" W/ ""till*"") OR (""minimum"" W/ ""till*"") OR (""zero"" W/ ""till*"")) AND TITLE-ABS-KEY((""meta-analy*""  OR ""systematic* review*""  OR ""evidence map""  OR ""global synthesis""  OR ""evidence synthesis""  OR ""research synthesis""))",NA,01/09/2021,NA
Conservation agriculture systems,Search 6 (Conservation agriculture and no/reduced/minimum/zero/occasional tillage),"Topic: ((""conservation"" NEAR ""agriculture"") OR (""no"" NEAR ""till*"") OR (""reduce*"" NEAR ""till*"") OR (""minimum"" NEAR ""till*"") OR (""zero"" NEAR ""till*"") OR (""occasional"" NEAR ""till*"")) AND Topic: ((""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis""))",NA,01/09/2021,"TITLE-ABS-KEY((""conservation"" W/ ""agriculture"") OR (""no"" W/ ""till*"") OR (""reduce*"" W/ ""till*"") OR (""minimum"" W/ ""till*"") OR (""zero"" W/ ""till*"") OR (""occasional"" W/ ""till*"")) AND TITLE-ABS-KEY((""meta-analy*""  OR ""systematic* review*""  OR ""evidence map""  OR ""global synthesis""  OR ""evidence synthesis""  OR ""research synthesis""))",NA,01/09/2021,NA
Conservation agriculture systems,Other searches,NA,NA,NA,NA,NA,NA,9
Cover and catch crops,Total,NA,NA,NA,NA,NA,NA,158
Cover and catch crops,Cover crops,"Topic: (""cover* crop*"" OR ""catch* crop*"" OR ""winter cover*"" OR ""soil cover*"") AND Topic: (""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"")",130,01/01/2022,"TITLE-ABS-KEY: (""cover* crop*"" OR ""catch* crop*"" OR ""winter cover*"" OR ""soil cover*"") AND TITLE-ABS-KEY: (""meta-analy*""  OR ""systematic* review*""  OR ""evidence map""  OR ""global synthesis""  OR ""evidence synthesis""  OR ""research synthesis"")",111,01/01/2022,241
Crop residue management,Total,NA,NA,NA,NA,NA,NA,546
Crop residue management,This search,"Topic: (""crop residue*"" OR ""residue* from crop*"" OR ""field residue*"" OR ""plant residue*"" OR ""agricult* residue*"" OR ""legume residue*"" OR ""pruning residue*"" OR ""plant litter"" OR ""straw"" OR ""stubble*"" OR ""residue* retention"" OR ""residue* return"" OR ""residue* burning"" OR ""residue* incorporation"" OR ""mulch*"" ) (All Fields) AND Topic: ( ""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"") (All Fields)",439,27/09/2022,"TITLE-ABS-KEY ( ( ""crop residue*""  OR  ""residue* from crop*""  OR  ""field residue*""  OR  ""plant residue*""  OR  ""agricult* residue*""  OR  ""legume residue*""  OR  ""pruning residue*""  OR  ""plant litter""  OR  ""straw""  OR  ""stubble*""  OR  ""residue* retention""  OR  ""residue* return""  OR  ""residue* burning""  OR  ""residue* incorporation""  OR  ""mulch*"" ) ) ) AND  TITLE-ABS-KEY ( ( ""meta-analy*""  OR  ""systematic* review*""  OR  ""evidence map""  OR  ""global synthesis""  OR  ""evidence synthesis""  OR  ""research synthesis"" ) )",423,27/09/2022,NA
Crop rotation,Total,NA,NA,NA,NA,NA,NA,249
Crop rotation,This search,"Topic: (( crop* near/3 rotat* ) OR ( crop* near/3 sequen* ) OR ( cultiv* near/3 rotat* ) OR ( cultiv* near/3 sequen* ) OR ( multi* near/3 crop* ) OR ( multi* near/3 cultiv* ) OR ( crop* near/3 divers* ) OR ( cultiv* near/3 divers* )) AND Topic: ((""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis""))",187,01/09/2021,"TITLE-ABS-KEY: (( crop* near/3 rotat* ) OR ( crop* near/3 sequen* ) OR ( cultiv* near/3 rotat* ) OR ( cultiv* near/3 sequen* ) OR ( multi* near/3 crop* ) OR ( multi* near/3 cultiv* ) OR ( crop* near/3 divers* ) OR ( cultiv* near/3 divers* )) AND TITLE-ABS-KEY: ((""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis""))",191,01/09/2021,249
