Treatment,Point,75th,25th
T1,56.76646707,,
T1,,57.84431138,
T1,,,56.04790419
T2,45.38922156,,
T2,,47.4251497,
T2,,,44.67065868
T3,40.23952096,,
T3,,41.67664671,
T3,,,39.04191617
T4,74.49101796,,
T4,,80.23952096,
T4,,,74.13173653
T5,77.1257485,,
T5,,79.16167665,
T5,,,75.08982036
T6,48.14371257,,
T6,,49.7005988,
T6,,,46.70658683
T7,95.32934132,,
T7,,100.1197605,
T7,,,93.41317365
