,,Y,SE
RRR,Middle,2752.515,
RRR,Middle,3211.268,458.753
RMR,Middle,8088.531,
RMR,Middle,9730.382,1641.851
RMgR,Middle,9319.92,
RMgR,Middle,9730.382,410.462
RMgM,Middle,3018.109,
RMgM,Middle,3839.034,820.925
RRR,After,3259.557,
RRR,After,3621.73,362.173
RMR,After,2704.225,
RMR,After,2897.384,193.159
RMgR,After,4973.843,
RMgR,After,5191.147,217.304
RMgM,After,4104.628,
RMgM,After,4877.264,772.636
