system,mean,mean+se,se
Cc: pigeon pea in fallow. Fallow (12/1999-10/2001); M-F (12/2001-4/2002); M-F (12/2002-4/2003); fallow (12/2023-10/2005); M-F (12/2005-4/2006); M-F (12/2006-4/2007), 2.645833333333334, 3.4375000000000004,0.791666667
SsCc: 1:1 mixtures of sesbania + pigeon pea in fallow. Fallow (12/1999-10/2001); M-F (12/2001-4/2002); M-F (12/2002-4/2003); fallow (12/2023-10/2005); M-F (12/2005-4/2006); M-F (12/2006-4/2007), 3.9791666666666674, 4.583333333333334,0.604166667
Tv: tephrosia in fallow. Fallow (12/1999-10/2001); M-F (12/2001-4/2002); M-F (12/2002-4/2003); fallow (12/2023-10/2005); M-F (12/2005-4/2006); M-F (12/2006-4/2007) , 3.875000000000001, 4.312500000000001,0.4375
SsTv: 1:1 mixtures of sesbania + tephrosia in fallow. Fallow (12/1999-10/2001); M-F (12/2001-4/2002); M-F (12/2002-4/2003); fallow (12/2023-10/2005); M-F (12/2005-4/2006); M-F (12/2006-4/2007), 4.479166666666668, 5.520833333333334,1.041666667
Ss: sesbania in fallow. Fallow (12/1999-10/2001); M-F (12/2001-4/2002); M-F (12/2002-4/2003); fallow (12/2023-10/2005); M-F (12/2005-4/2006); M-F (12/2006-4/2007) , 3.4791666666666674, 4.604166666666668,1.125
MVF: mixed vegetation fallow. The mixed vegetation fallow consisted of natural regenerations of native legume and grass species. Continuously cropped monoculture maize receiving the recommended fertilizer rate served as the control since it represents a s,0.916666667,1.125,0.208333333
M + F: monoculture maize receiving recommended fertilizer. M+F (12/1999-10/2001); M+F (12/2001-4/2002); M+F (12/2002-4/2003); M+F (12/2023-10/2005); M+F (12/2005-4/2006); M+F (12/2006-4/2007), 4.729166666666668, 4.812500000000001,0.083333333
