pid,sid,eid,tid,author,year,title,journal,region,studymode,country,site,livestock_production_system,agroecological_zone,n,technology_type,control_trt,improved_forage,improved_legume,improved_grass,forage_ctrl_cp_hv1,forage_trt_cp_hv1,uom_cp,livestock_ctrl_milk1,livestock_trt_milk1,livestock_ctrl_milk2,livestock_trt_milk2,uom_milk,livestock_ctrl_lwg1,livestock_trt_lwg1,livestock_ctrl_lwg2,livestock_trt_lwg2,uom_lwg,livestock_ctrl_dmi,livestock_trt_dmi,uom_dmi,livestock_ctrl_manure,livestock_trt_manure,uom_manure,livestock_ctrl_n_manure,livestock_trt_n_manure,uom_n_manure,econ_ctrl_rev_s1,econ_trt_rev_s1,uom_rev,usd_exchange_rate
51,1,2,3,"Murungweni, C., Mabuku, O., Manyawu, G.",2004,"Mucuna, Lablab and Paprika Calyx as substitutes for commercial protein sources used for dairy and pen-fattening diets  by smallholder farmers in Zimbabwe",In: Whitebread E. and Pengelly B. (2004). Tropical legumes for sustainable farming systems in Southern Africa and Australia,Southern Africa,Feeding trial,Zimbabwe,Wedza,Mixed Rainfed Arid,Tropic - cool / semiarid,4,Improved feeding regime,"Common practice (morning milking then free grazing, with minimum supplementation and using residues of any amount and type",Herbaceous legume,Lablab purpureus,,,,,0.8,1.78,,,l/day,,,,,,,,,,,,,,,,,,
51,1,2,4,"Murungweni, C., Mabuku, O., Manyawu, G.",2004,"Mucuna, Lablab and Paprika Calyx as substitutes for commercial protein sources used for dairy and pen-fattening diets  by smallholder farmers in Zimbabwe",In: Whitebread E. and Pengelly B. (2004). Tropical legumes for sustainable farming systems in Southern Africa and Australia,Southern Africa,Feeding trial,Zimbabwe,Wedza,Mixed Rainfed Arid,Tropic - cool / semiarid,4,Improved feeding regime,"Common practice (morning milking then free grazing, with minimum supplementation and using residues of any amount and type",Herbaceous legume,Paprika (Capsicum anuum L) calyx,,,,,0.8,1.19,,,l/day,,,,,,,,,,,,,,,,,,
51,1,3,2,"Murungweni, C., Mabuku, O., Manyawu, G.",2004,"Mucuna, Lablab and Paprika Calyx as substitutes for commercial protein sources used for dairy and pen-fattening diets  by smallholder farmers in Zimbabwe",In: Whitebread E. and Pengelly B. (2004). Tropical legumes for sustainable farming systems in Southern Africa and Australia,Southern Africa,Feeding trial,Zimbabwe,Wedza,Mixed Rainfed Arid,Tropic - cool / semiarid,6,Improved feeding regime,Commercial diet  (14.5% CP),Herbaceous legume,Mucuna pruriens,,,,,,,,,,76000,88500,,,g/2months(drywinterseason),,,,,,,,,,,,,
51,1,4,3,"Murungweni, C., Mabuku, O., Manyawu, G.",2004,"Mucuna, Lablab and Paprika Calyx as substitutes for commercial protein sources used for dairy and pen-fattening diets  by smallholder farmers in Zimbabwe",In: Whitebread E. and Pengelly B. (2004). Tropical legumes for sustainable farming systems in Southern Africa and Australia,Southern Africa,Feeding trial,Zimbabwe,Wedza,Mixed Rainfed Arid,Tropic - cool / semiarid,4,Improved feeding regime,Commercial dairy meal  (15% CP),Herbaceous legume,Mucuna pruriens,,,,,10,9,,,l/day,,,,,,,,,,,,,,,,,,
63,1,1,3,"Katuromunda, S. Sabiiti, E., Bekunda, A.",2012,Effect of legume foliage supplementary feeding to dairy cattle offered Pennisetum purpureum basal diet on feed intake and manure quality,Uganda Journal of Agricultural Science,East Africa,Feeding trial,Uganda,Kabanyolo,Mixed Rainfed Humid,Tropic - warm / humid,4,Improved feeding regime,Pennisetum purpureum,Herbaceous legume,Centrosema,,,,,,,,,,,,,,,11.64,14.88,gDM/kgLW/day,,,,15.97,15.64,g/kgDM,,,,
63,1,1,4,"Katuromunda, S. Sabiiti, E., Bekunda, A.",2012,Effect of legume foliage supplementary feeding to dairy cattle offered Pennisetum purpureum basal diet on feed intake and manure quality,Uganda Journal of Agricultural Science,East Africa,Feeding trial,Uganda,Kabanyolo,Mixed Rainfed Humid,Tropic - warm / humid,4,Improved feeding regime,Pennisetum purpureum,Herbaceous legume,Desmodium,,,,,,,,,,,,,,,11.64,14.74,gDM/kgLW/day,,,,15.97,15.37,g/kgDM,,,,
80,1,1,2,"Nyambati, E., Sollenberger, L., Kunkle, W.",2003,Feed intake and lactation performance of dairy cows offered napier grass supplemented with legume hay,Livestock Production Science,East Africa,Feeding trial,Kenya,Kitale,Mixed Rainfed Temperate,Tropic - warm / subhumid,2,Improved feeding regime,Pennisetum purpureum cv. Bana,Herbaceous legume,Mucuna pruriens var. utilis (L.) DC,,,,,3.62,4.22,,,kgFCM/cow/day,5,10,,,kg/week,108,130,g/kgBW^0.75/day,3.96,4.6,kgDM/day/animal,,,,,,,
97,1,3,2,"Kabirizi, J.",2009,"Participatory testing of forage legume innovations with women farmers in Masaka District, Uganda: Impact on fodder availability, animal performance and household income",In. Urama K. et al (2009). Agricultural innovations for sustainable development.Vol. 2 issue 1. African Technology Policy Studies Network. Pp.79,East Africa,Feeding trial and on-farm trial,Uganda,Masaka,Mixed Rainfed Humid,Tropic - cool / subhumid,12,Improved feeding regime,Pennisetum purpureum,Herbaceous legume,Lablab purpureus and Desmodium intortum,,,,,6.6,9,,,l/day,,,,,,7,10.3,kg/day,,,,,,,,,,
103,1,1,2,"Lanyasunya, T., Wang, Rong H., Mukisira, E.",2006,"Effect of Supplementation on Performance of Calves on Smallholder Dairy Farms in Bahati Division of Nakuru District, Kenya",Pakistan Journal of Nutrition,East Africa,Feeding trial,Kenya,"Bahati, Nakuru",Other,Tropic - cool / subhumid,20,Improved feeding regime,Pennisetum purpureum cv Bana,Herbaceous legume,Desmodium inortum cv. Greenleaf,,,,,,,,,,307,375,,,g/day,,,,,,,,,,,,,
97,1,3,3,"Kabirizi, J.",2009,"Participatory testing of forage legume innovations with women farmers in Masaka District, Uganda: Impact on fodder availability, animal performance and household income",In. Urama K. et al (2009). Agricultural innovations for sustainable development.Vol. 2 issue 1. African Technology Policy Studies Network. Pp.79,East Africa,Feeding trial and on-farm trial,Uganda,Masaka,Mixed Rainfed Humid,Tropic - cool / subhumid,12,Improved feeding regime,Pennisetum purpureum,Herbaceous legume,"Calliandra calothyrsus, Lablab purpureus, Desmodium intortum",,,,,6.6,9.7,,,l/day,,,,,,7,11,kg/day,,,,,,,,,,
97,1,3,4,"Kabirizi, J.",2009,"Participatory testing of forage legume innovations with women farmers in Masaka District, Uganda: Impact on fodder availability, animal performance and household income",In. Urama K. et al (2009). Agricultural innovations for sustainable development.Vol. 2 issue 1. African Technology Policy Studies Network. Pp.79,East Africa,Feeding trial and on-farm trial,Uganda,Masaka,Mixed Rainfed Humid,Tropic - cool / subhumid,12,Improved feeding regime,Pennisetum purpureum,Herbaceous legume,Lablab purpureus and calliandra calothyrsus,,,,,6.6,14,,,l/day,,,,,,7,13.5,kg/day,,,,,,,,,,
2,1,1,2,"Wegad, D., Ndumbe, R.",1987,The effect of different protein supplements on weight gain and voluntary intake of maize stover by cattle,ARNAB (1987). Utilization of agricultural by-products as livestock feed in Africa. Pp. 99-102,Central Africa,Feeding trial,Cameroon,"Bambui, Southern Cameroon",Mixed Rainfed Temperate,Tropic - cool / humid,4,Improved feeding regime,Maize stover,Shrub,Leucaena leucocephala,,,,,,,,,,-8,236,,,g/day,4.16,3.25,kgDM(maizestover)/animal,,,,,,,,,,
11,1,1,3,"Njarui D., Wandera, F., Mureithi, J.",2000,Potential of jack bean as a feed supplement for Kenya dual-purpose goats in the semi-arid area,"KARI: Participatory technology development for soil management by smallholders in Kenya. Proceedings of the 2nd Scientific Conference on the Soil Management and Legume Research Network Projects. Mombasa, Kenya",East Africa,Feeding trial,Kenya,"Katumani, Machakos",Other,Tropic - warm / subhumid,4,Improved feeding regime,Pennisetum purpureum & natural pasture,Shrub,Leucaena leucocephala,,,,,,,,,,-13.4,37.2,,,g/day,,,,,,,,,,,,,
12,1,1,4,"Njarui D., Wandera, F., Muinga, R.",2000,Evaluation of selected forage legumes as supplementary feed for Kenya dual-purpose goat in semi-arid region of Eastern Kenya,"KARI: Participatory technology development for soil management by smallholders in Kenya. Proceedings of the 2nd Scientific Conference on the Soil Management and Legume Research Network Projects. Mombasa, Kenya",East Africa,Feeding trial,Kenya,"Katumani, Machakos",Other,Tropic - warm / subhumid,4,Improved feeding regime,Pennisetum purpureum & natural pasture,Shrub,Leucaena leucocephala,,,,,,,,,,-23.81,31.25,,,g/day,,,,,,,,,,,,,
12,1,2,4,"Njarui D., Wandera, F., Muinga, R.",2000,Evaluation of selected forage legumes as supplementary feed for Kenya dual-purpose goat in semi-arid region of Eastern Kenya,"KARI: Participatory technology development for soil management by smallholders in Kenya. Proceedings of the 2nd Scientific Conference on the Soil Management and Legume Research Network Projects. Mombasa, Kenya",East Africa,Feeding trial,Kenya,"Katumani, Machakos",Other,Tropic - warm / subhumid,4,Improved feeding regime,"Natural pasture (rhodes, star, buffel, Themeda triandra)",Shrub,Leucaena leucocephala,,,,,,,,,,-7.44,34.23,,,g/day,,,,,,,,,,,,,
23,1,2,2,"Muinga R.W., Thorpe W., Topps J.H",1993,Lactational performance of Jersey cows given napier fodder (Pennisetum purpureum) with and without concentrates in the semi-humid tropics,Tropical Animal Health and Production,East Africa,Feeding trial,Kenya,Mtwapa,Urban,Tropic - warm / subhumid,2,Improved feeding regime,Pennisetum purpureum,Shrub,Leucaena leucocephala,,,,,4.2,5.2,,,l/cow/day,-4,4,,,g/day,5.5,7,g/kgBW^0.75,,,,,,,,,,
36,1,1,2,"Paterson R., Kiruiro, E., Arimi, H.",1999,Calliandra calothyrsus as a supplement for milk production in the Kenya highlands,Tropical Animal Health and Production,East Africa,Feeding trial,Kenya,Embu,Urban,Tropic - cool / subhumid,15,Improved feeding regime,Normal feeding,Shrub,Calliandra calothyrsus,,,,,9.9,10.5,,,kg/cow/day,,,,,,,,,,,,,,,,,,
36,1,2,2,"Paterson R., Kiruiro, E., Arimi, H.",1999,Calliandra calothyrsus as a supplement for milk production in the Kenya highlands,Tropical Animal Health and Production,East Africa,Feeding trial,Kenya,Embu,Urban,Tropic - cool / subhumid,15,Improved feeding regime,Normal feeding,Shrub,Calliandra calothyrsus,,,,,10.54,10.91,,,kg/cow/day,,,,,,,,,,,,,,,,,,
36,1,2,3,"Paterson R., Kiruiro, E., Arimi, H.",1999,Calliandra calothyrsus as a supplement for milk production in the Kenya highlands,Tropical Animal Health and Production,East Africa,Feeding trial,Kenya,Embu,Urban,Tropic - cool / subhumid,15,Improved feeding regime,Normal feeding,Shrub,Calliandra calothyrsus,,,,,10.54,11.44,,,kg/cow/day,,,,,,,,,,,,,,,,,,
60,1,1,2,"Kakengi, A., Shem, M., Mtengeti, E., Otsyina, R.",2001,Leucaena leucocephala leaf meal as supplement to diet of grazing dairy cattle in semiarid Western Tanzania,Agroforestry Systems,East Africa,Feeding trial,Tanzania,Shinyanga,Mixed Rainfed Temperate,Tropic - cool / humid,6,Improved feeding regime,Natural grasses (grazing),Shrub,Leucaena leucocephala,,,,,6.3,11.4,,,l/cow/day,38.2,190.9,,,g/head/day,,,,,,,,,,,,,
60,1,1,3,"Kakengi, A., Shem, M., Mtengeti, E., Otsyina, R.",2001,Leucaena leucocephala leaf meal as supplement to diet of grazing dairy cattle in semiarid Western Tanzania,Agroforestry Systems,East Africa,Feeding trial,Tanzania,Shinyanga,Mixed Rainfed Temperate,Tropic - cool / humid,6,Improved feeding regime,Natural grasses (grazing),Shrub,Leucaena leucocephala,,,,,6.3,9.4,,,l/cow/day,38.2,101.8,,,g/head/day,,,,,,,,,,,,,
60,1,1,4,"Kakengi, A., Shem, M., Mtengeti, E., Otsyina, R.",2001,Leucaena leucocephala leaf meal as supplement to diet of grazing dairy cattle in semiarid Western Tanzania,Agroforestry Systems,East Africa,Feeding trial,Tanzania,Shinyanga,Mixed Rainfed Arid,Tropic - cool / humid,6,Improved feeding regime,Natural grasses (grazing),Shrub,Leucaena leucocephala,,,,,6.3,14.7,,,l/cow/day,38.2,80.9,,,g/head/day,,,,,,,,,,,,,
61,1,1,3,"Karachi, M., Zengo, M.",1998,"Legume forages from pigeon pea, leucaena and sesbania as supplements to natural pastures for goat production in western Tanzania",Agroforestry Systems,East Africa,Feeding trial,Tanzania,Tabora region,Mixed Rainfed Arid,Tropic - cool / subhumid,8,Improved feeding regime,Natural grasses (grazing),Shrub,Leucaena leucocephala,,,,,,,,,,6.7,16.7,21.6,37.5,g/head/day,0,52.6,g/head/day,,,,,,,,,,
61,1,1,4,"Karachi, M., Zengo, M.",1998,"Legume forages from pigeon pea, leucaena and sesbania as supplements to natural pastures for goat production in western Tanzania",Agroforestry Systems,East Africa,Feeding trial,Tanzania,Tabora region,Mixed Rainfed Arid,Tropic - cool / subhumid,8,Improved feeding regime,Natural grasses (grazing),Shrub,Sesbania sesban,,,,,,,,,,6.7,14.4,21.6,28.3,g/head/day,0,49.7,g/head/day,,,,,,,,,,
