pid,sid,eid,tid,author,year,title,journal,region,studymode,country,site,livestock_production_system,agroecological_zone,n,technology_type,control_trt,improved_forage,improved_legume,improved_grass,food_crop,cropping_system,forage_ctrl_dm1_hv1,forage_trt_dm1_hv1,forage_ctrl_dm1_hv2,forage_trt_dm1_hv2,forage_ctrl_dm1_hv3,forage_trt_dm1_hv3,forage_ctrl_dm1_hv4,forage_trt_dm1_hv4,forage_ctrl_dm1_hv5,forage_trt_dm1_hv5,forage_ctrl_dm1_hv6,forage_trt_dm1_hv6,forage_ctrl_dm1_hv7,forage_trt_dm1_hv7,forage_trt_dm2_hv1,forage_trt_dm2_hv2,forage_trt_dm2_hv3,forage_trt_dm2_hv4,forage_trt_dm2_hv5,forage_trt_dm2_hv6,uom_dm,forage_ctrl_cp_hv1,forage_trt_cp_hv1,forage_ctrl_cp_hv2,forage_trt_cp_hv2,uom_cp,forage_ctrl_n1,forage_trt_n1,forage_ctrl_n2,forage_trt_n2,uom_n_forage,forage_ctrl_me,forage_trt_me,uom_me,livestock_ctrl_milk1,livestock_trt_milk1,uom_milk,soil_ctrl_sl_5_10_s1,soil_trt_sl_5_10_s1,soil_ctrl_sl_10_20_s1,soil_trt_sl_10_20_s1,soil_ctrl_sl_20_30_s1,soil_trt_sl_20_30_s1,soil_ctrl_sl_30_s1,soil_trt_sl_30_s1,soil_ctrl_sl_5_10_s2,soil_trt_sl_5_10_s2,soil_ctrl_sl_10_20_s2,soil_trt_sl_10_20_s2,soil_ctrl_sl_20_30_s2,soil_trt_sl_20_30_s2,soil_ctrl_sl_30_s2,soil_trt_sl_30_s2,soil_ctrl_sl_10_20_s3,soil_trt_sl_10_20_s3,soil_ctrl_sl_10_20_s4,soil_trt_sl_10_20_s4,soil_ctrl_sl_10_20_s5,soil_trt_sl_10_20_s5,soil_ctrl_sl_10_20_s6,soil_trt_sl_10_20_s6,soil_ctrl_sl_10_20_s7,soil_trt_sl_10_20_s7,soil_ctrl_sl_10_20_s8,soil_trt_sl_10_20_s8,soil_ctrl_sl_10_20_s9,soil_trt_sl_10_20_s9,soil_ctrl_sl_10_20_s10,soil_trt_sl_10_20_s10,soil_ctrl_uom_sl,soil_ctrl_runoff_12_25,soil_trt_runoff_12_25,soil_ctrl_runoff_10_20_yr1,soil_trt_runoff_10_20_yr1,soil_ctrl_runoff_30_yr1,soil_trt_runoff_30_yr1,uom_runoff,soil_ctrl_soc,soil_trt_soc,uom_soc,econ_ctrl_rev_s1,econ_trt_rev_s1,econ_ctrl_rev_s2,econ_trt_rev_s2,econ_ctrl_rev_s3,econ_trt_rev_s3,econ_ctrl_rev_s4,econ_trt_rev_s4,uom_rev,econ_ctrl_benefit_s1,econ_trt_benefit_s1,econ_ctrl_benefit_s2,econ_trt_benefit_s2,econ_ctrl_benefit_s3,econ_trt_benefit_s3,econ_ctrl_benefit_s4,econ_trt_benefit_s4,econ_ctrl_bc_ratio1,econ_trt_bc_ratio1,econ_ctrl_bc_ratio2,econ_trt_bc_ratio2,uom_benefit,usd_exchange_rate,food_ctrl_cr1_s1,food_trt_cr1_s1,food_ctrl_cr1__s2,food_trt_cr1_s2,food_ctrl_cr1_s3,food_trt_cr1_s3,food_ctrl_cr1_s4,food_trt_cr1_s4,food_ctrl_cr1_s5,food_trt_cr1_s5,food_ctrl_cr1_s6,food_trt_cr1_s6,food_ctrl_cr1_s7,food_trt_cr1_s7,food_ctrl_cr1_s8,food_trt_cr1_s8,food_ctrl_cr1_s9,food_trt_cr1_s9,food_ctrl_cr1_s10,food_trt_cr1_s10,cr_1,uom_cr1,food_ctrl_cr2_yr1,food_trt_cr2_yr1,food_ctrl_cr2_yr2,food_trt_cr2_yr2,food_ctrl_cr2_yr3,food_trt_cr2_yr3,cr_2,uom_cr2,food_ctrol_stover_yr1,food_trt_stover_yr1,food_ctrl_stover_yr2,food_trt_stover_yr2,food_ctrl_stover_yr3,food_trt_stover_yr3,uom_stover
91,2,1,2,"Mpangane, P., Ayisi, K., Mishiyi, M., Witbread, A.",2004,Grain yield of maize grown in sole and binary cultures with cowpea and lablab in the Limpopo province of South Africa,"In Whitbread, A. and Bruce C (2004). Tropical Legumes for Sustainable Farming Systems in Southern Africa and Australia",Southern Africa,On-farm trial,South Africa,Dalmada,Urban,Tropic - cool / semiarid,4,Improved integration into the cropping system,Sole maize,Dual-purpose legume,Vigna unguiculata Bechuana White,,Maize,Forage intercrop/relay w food crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420,455,,,,,,,,,,,,,,,,,,,Maize,kg/ha/yr,,,,,,,,,,,,,,,
91,2,1,3,"Mpangane, P., Ayisi, K., Mishiyi, M., Witbread, A.",2004,Grain yield of maize grown in sole and binary cultures with cowpea and lablab in the Limpopo province of South Africa,"In Whitbread, A. and Bruce C (2004). Tropical Legumes for Sustainable Farming Systems in Southern Africa and Australia",Southern Africa,On-farm trial,South Africa,Dalmada,Urban,Tropic - cool / semiarid,4,Improved integration into the cropping system,Sole maize,Dual-purpose legume,Vigna unguiculata cv. Glenda,,Maize,Forage intercrop/relay w food crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420,1213,,,,,,,,,,,,,,,,,,,Maize,kg/ha/yr,,,,,,,,,,,,,,,
91,2,1,4,"Mpangane, P., Ayisi, K., Mishiyi, M., Witbread, A.",2004,Grain yield of maize grown in sole and binary cultures with cowpea and lablab in the Limpopo province of South Africa,"In Whitbread, A. and Bruce C (2004). Tropical Legumes for Sustainable Farming Systems in Southern Africa and Australia",Southern Africa,On-farm trial,South Africa,Dalmada,Urban,Tropic - cool / semiarid,4,Improved integration into the cropping system,Sole maize,Dual-purpose legume,Lablab purpureus cv. Rongai,,Maize,Forage intercrop/relay w food crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420,595,,,,,,,,,,,,,,,,,,,Maize,kg/ha/yr,,,,,,,,,,,,,,,
91,2,1,5,"Mpangane, P., Ayisi, K., Mishiyi, M., Witbread, A.",2004,Grain yield of maize grown in sole and binary cultures with cowpea and lablab in the Limpopo province of South Africa,"In Whitbread, A. and Bruce C (2004). Tropical Legumes for Sustainable Farming Systems in Southern Africa and Australia",Southern Africa,On-farm trial,South Africa,Dalmada,Urban,Tropic - cool / semiarid,4,Improved integration into the cropping system,Sole maize,Dual-purpose legume,Lablab purpureus cv. Common,,Maize,Forage intercrop/relay w food crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420,168,,,,,,,,,,,,,,,,,,,Maize,kg/ha/yr,,,,,,,,,,,,,,,
96,1,1,2,"Kabirizi, J., Taabu, L., Kigongo, J., Namazzi, C., Ebiyau, G., Oketayot, J., Ogwal, S.",2010,The contribution of women to food and fodder production in war affected areas of Gulu District in Uganda,"In: Proceedings of Second RUFORUM Biennial Meeting 20 - 24 September 2010, Entebbe, Ug",East Africa,On-farm trial,Uganda,Gulu,Urban,Tropic - warm / humid,,Improved integration into the cropping system,Sorghum,Dual-purpose legume,Lablab purpureus,,Sorghum,Forage intercrop/relay w food crop,1446,1652,,,,,,,,,,,,,,,,,,,kg/ha,4.4,6.6,,,%DM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1239,1311,,,,,,,,,,,,,,,,,,,Sorghum,kg/ha/yr,,,,,,,,,,,,,,,
97,1,2,2,"Kabirizi, J.",2009,"Participatory testing of forage legume innovations with women farmers in Masaka District, Uganda: Impact on fodder availability, animal performance and household income",In. Urama K. et al (2009). Agricultural innovations for sustainable development.Vol. 2 issue 1. African Technology Policy Studies Network. Pp.79,East Africa,Feeding trial and on-farm trial,Uganda,Masaka,Mixed Rainfed Humid,Tropic - cool / subhumid,12,Improved integration into the cropping system,Sole maize,Dual-purpose legume,Lablab purpureus,,Maize,Forage intercrop/relay w food crop,4373.2,5485.2,,,,,,,,,,,,,,,,,,,kg/ha,4,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2912.1,3115.4,,,,,,,,,,,,,,,,,,,Maize,kg/ha/yr,,,,,,,,,,,,,,,
106,1,1,2,"Mupangwa, W., Nemasasi, H., Muchadeyi, R., Manyawu, G.",2003,Residual effects of forage legumes on subsequent maize yields and soil fertility in smallholder farming sector of Zimbabwe,"In Waddington, S.R (Ed) (2003). Grain legumes and green manures for soil fertility in Southern Africa: Taking Stock of Progress. Proceedings of a conference held 8-11 October 2002 in Vumba, Zimbabwe. Soil Fert Net and CIMMYT, Harare, Zimbabwe. 246 p.",Southern Africa,On-farm trial,Zimbabwe,"Chamatendre, Madzimbabwe and Buhera wards in Wedza and Gaza Munyanyi Districts",Mixed Rainfed Arid,Tropic - cool / semiarid,3,Improved integration into the cropping system,Sole maize,Dual-purpose legume,Vigna unguiculata,,Maize,Forage intercrop/relay w food crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,%,,,,,,,,,,,,,,,,,,,,,,,,2.27,4.64,,,,,,,,,,,,,,,,,,,Maize,t/ha/season,,,,,,,,,,,,,,,
106,1,1,4,"Mupangwa, W., Nemasasi, H., Muchadeyi, R., Manyawu, G.",2003,Residual effects of forage legumes on subsequent maize yields and soil fertility in smallholder farming sector of Zimbabwe,"In Waddington, S.R (Ed) (2003). Grain legumes and green manures for soil fertility in Southern Africa: Taking Stock of Progress. Proceedings of a conference held 8-11 October 2002 in Vumba, Zimbabwe. Soil Fert Net and CIMMYT, Harare, Zimbabwe. 246 p.",Southern Africa,On-farm trial,Zimbabwe,"Chamatendre, Madzimbabwe and Buhera wards in Wedza and Gaza Munyanyi Districts",Mixed Rainfed Arid,Tropic - cool / semiarid,3,Improved integration into the cropping system,Sole maize,Dual-purpose legume,Lablab purpureus,,Maize,Forage intercrop/relay w food crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.52,%,,,,,,,,,,,,,,,,,,,,,,,,2.27,3.93,,,,,,,,,,,,,,,,,,,Maize,t/ha/season,,,,,,,,,,,,,,,
106,2,1,2,"Mupangwa, W., Nemasasi, H., Muchadeyi, R., Manyawu, G.",2003,Residual effects of forage legumes on subsequent maize yields and soil fertility in smallholder farming sector of Zimbabwe,"In Waddington, S.R (Ed) (2003). Grain legumes and green manures for soil fertility in Southern Africa: Taking Stock of Progress. Proceedings of a conference held 8-11 October 2002 in Vumba, Zimbabwe. Soil Fert Net and CIMMYT, Harare, Zimbabwe. 246 p.",Southern Africa,On-farm trial,Zimbabwe,Chamatendre,Mixed Rainfed Arid,Tropic - cool / semiarid,3,Improved integration into the cropping system,Sole maize,Dual-purpose legume,Vigna unguiculata,,Maize,Forage intercrop/relay w food crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.36,%,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.65,,,,,,,,,,,,,,,,,,,Maize,t/ha/season,,,,,,,,,,,,,,,
106,2,1,4,"Mupangwa, W., Nemasasi, H., Muchadeyi, R., Manyawu, G.",2003,Residual effects of forage legumes on subsequent maize yields and soil fertility in smallholder farming sector of Zimbabwe,"In Waddington, S.R (Ed) (2003). Grain legumes and green manures for soil fertility in Southern Africa: Taking Stock of Progress. Proceedings of a conference held 8-11 October 2002 in Vumba, Zimbabwe. Soil Fert Net and CIMMYT, Harare, Zimbabwe. 246 p.",Southern Africa,On-farm trial,Zimbabwe,Chamatendre,Mixed Rainfed Arid,Tropic - cool / semiarid,3,Improved integration into the cropping system,Sole maize,Dual-purpose legume,Lablab purpureus,,Maize,Forage intercrop/relay w food crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.28,%,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.89,,,,,,,,,,,,,,,,,,,Maize,t/ha/season,,,,,,,,,,,,,,,
