pid,sid,eid,tid,author,year,title,journal,region,studymode,country,site,livestock_production_system,agroecological_zone,n,technology_type,control_trt,improved_forage,improved_legume,improved_grass,food_crop,cropping_system,forage_ctrl_dm1_hv1,forage_trt_dm1_hv1,forage_ctrl_dm1_hv2,forage_trt_dm1_hv2,forage_ctrl_dm1_hv3,forage_trt_dm1_hv3,forage_ctrl_dm1_hv4,forage_trt_dm1_hv4,forage_ctrl_dm1_hv5,forage_trt_dm1_hv5,forage_ctrl_dm1_hv6,forage_trt_dm1_hv6,forage_ctrl_dm1_hv7,forage_trt_dm1_hv7,forage_trt_dm2_hv1,forage_trt_dm2_hv2,forage_trt_dm2_hv3,forage_trt_dm2_hv4,forage_trt_dm2_hv5,forage_trt_dm2_hv6,uom_dm,forage_ctrl_cp_hv1,forage_trt_cp_hv1,forage_ctrl_cp_hv2,forage_trt_cp_hv2,uom_cp,forage_ctrl_n1,forage_trt_n1,forage_ctrl_n2,forage_trt_n2,uom_n_forage,forage_ctrl_me,forage_trt_me,uom_me,livestock_ctrl_milk1,livestock_trt_milk1,uom_milk,soil_ctrl_sl_5_10_s1,soil_trt_sl_5_10_s1,soil_ctrl_sl_10_20_s1,soil_trt_sl_10_20_s1,soil_ctrl_sl_20_30_s1,soil_trt_sl_20_30_s1,soil_ctrl_sl_30_s1,soil_trt_sl_30_s1,soil_ctrl_sl_5_10_s2,soil_trt_sl_5_10_s2,soil_ctrl_sl_10_20_s2,soil_trt_sl_10_20_s2,soil_ctrl_sl_20_30_s2,soil_trt_sl_20_30_s2,soil_ctrl_sl_30_s2,soil_trt_sl_30_s2,soil_ctrl_sl_10_20_s3,soil_trt_sl_10_20_s3,soil_ctrl_sl_10_20_s4,soil_trt_sl_10_20_s4,soil_ctrl_sl_10_20_s5,soil_trt_sl_10_20_s5,soil_ctrl_sl_10_20_s6,soil_trt_sl_10_20_s6,soil_ctrl_sl_10_20_s7,soil_trt_sl_10_20_s7,soil_ctrl_sl_10_20_s8,soil_trt_sl_10_20_s8,soil_ctrl_sl_10_20_s9,soil_trt_sl_10_20_s9,soil_ctrl_sl_10_20_s10,soil_trt_sl_10_20_s10,soil_ctrl_uom_sl,soil_ctrl_runoff_12_25,soil_trt_runoff_12_25,soil_ctrl_runoff_10_20_yr1,soil_trt_runoff_10_20_yr1,soil_ctrl_runoff_30_yr1,soil_trt_runoff_30_yr1,uom_runoff,soil_ctrl_soc,soil_trt_soc,uom_soc,econ_ctrl_rev_s1,econ_trt_rev_s1,econ_ctrl_rev_s2,econ_trt_rev_s2,econ_ctrl_rev_s3,econ_trt_rev_s3,econ_ctrl_rev_s4,econ_trt_rev_s4,uom_rev,econ_ctrl_benefit_s1,econ_trt_benefit_s1,econ_ctrl_benefit_s2,econ_trt_benefit_s2,econ_ctrl_benefit_s3,econ_trt_benefit_s3,econ_ctrl_benefit_s4,econ_trt_benefit_s4,econ_ctrl_bc_ratio1,econ_trt_bc_ratio1,econ_ctrl_bc_ratio2,econ_trt_bc_ratio2,uom_benefit,usd_exchange_rate,food_ctrl_cr1_s1,food_trt_cr1_s1,food_ctrl_cr1__s2,food_trt_cr1_s2,food_ctrl_cr1_s3,food_trt_cr1_s3,food_ctrl_cr1_s4,food_trt_cr1_s4,food_ctrl_cr1_s5,food_trt_cr1_s5,food_ctrl_cr1_s6,food_trt_cr1_s6,food_ctrl_cr1_s7,food_trt_cr1_s7,food_ctrl_cr1_s8,food_trt_cr1_s8,food_ctrl_cr1_s9,food_trt_cr1_s9,food_ctrl_cr1_s10,food_trt_cr1_s10,cr_1,uom_cr1,food_ctrl_cr2_yr1,food_trt_cr2_yr1,food_ctrl_cr2_yr2,food_trt_cr2_yr2,food_ctrl_cr2_yr3,food_trt_cr2_yr3,cr_2,uom_cr2,food_ctrol_stover_yr1,food_trt_stover_yr1,food_ctrl_stover_yr2,food_trt_stover_yr2,food_ctrl_stover_yr3,food_trt_stover_yr3,uom_stover
106,3,1,2,"Mupangwa, W., Nemasasi, H., Muchadeyi, R., Manyawu, G.",2003,Residual effects of forage legumes on subsequent maize yields and soil fertility in smallholder farming sector of Zimbabwe,"In Waddington, S.R (Ed) (2003). Grain legumes and green manures for soil fertility in Southern Africa: Taking Stock of Progress. Proceedings of a conference held 8-11 October 2002 in Vumba, Zimbabwe. Soil Fert Net and CIMMYT, Harare, Zimbabwe. 246 p.",Southern Africa,On-farm trial,Zimbabwe,Gaza Munyanyi Districts,Mixed Rainfed Arid,Tropic - cool / semiarid,3,Improved integration into the cropping system,Sole maize,Dual-purpose legume,Vigna unguiculata,,Maize,Forage intercrop/relay w food crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.38,%,,,,,,,,,,,,,,,,,,,,,,,,0.67,1.75,,,,,,,,,,,,,,,,,,,Maize,t/ha/season,,,,,,,,,,,,,,,
106,3,1,3,"Mupangwa, W., Nemasasi, H., Muchadeyi, R., Manyawu, G.",2003,Residual effects of forage legumes on subsequent maize yields and soil fertility in smallholder farming sector of Zimbabwe,"In Waddington, S.R (Ed) (2003). Grain legumes and green manures for soil fertility in Southern Africa: Taking Stock of Progress. Proceedings of a conference held 8-11 October 2002 in Vumba, Zimbabwe. Soil Fert Net and CIMMYT, Harare, Zimbabwe. 246 p.",Southern Africa,On-farm trial,Zimbabwe,Gaza Munyanyi Districts,Mixed Rainfed Arid,Tropic - cool / semiarid,3,Improved integration into the cropping system,Sole maize,Dual-purpose legume,Lablab purpureus,,Maize,Forage intercrop/relay w food crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.25,%,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.88,,,,,,,,,,,,,,,,,,,Maize,t/ha/season,,,,,,,,,,,,,,,
41,1,1,2,"Khan Z.,  Midega, C., Wanyama, J., Amudavi, D., Hassanali, A., Pittchar, J., Pickett, J.",2009,Integration of edible beans (Phaseolus vulgaris L.) into the push–pull technology developed for stemborer and Striga control in maize-based cropping systems,Crop Protection,East Africa,On-station trial,Kenya,"Mbita, Suba, Nyanza",Mixed Rainfed Humid,Tropic - warm / humid,4,Improved integration into the cropping system,Sole maize,Herbaceous legume,Desmodium spp.,,,Forage intercrop/relay w food crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.8,1736.2,667.7,1967.3,,,TotUSD/ha/season,-126.7,730.3,-176.1,940.4,,,,,0.8,1.7,0.8,1.9,TotgrossUSD/ha/season,,2.8,4.9,2.9,5,,,,,,,,,,,,,,,,,Maize,t/ha/season,,,,,,,,,,,,,,,
41,2,1,2,"Khan Z.,  Midega, C., Wanyama, J., Amudavi, D., Hassanali, A., Pittchar, J., Pickett, J.",2009,Integration of edible beans (Phaseolus vulgaris L.) into the push–pull technology developed for stemborer and Striga control in maize-based cropping systems,Crop Protection,East Africa,On-station trial,Kenya,"Mbita, Suba, Nyanza",Mixed Rainfed Humid,Tropic - warm / humid,4,Improved integration into the cropping system,Sole maize,Herbaceous legume,Desmodium spp.,,Maize,Forage intercrop/relay w food crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847.2,2296.9,822.4,2393,,,,,TotUSD/ha/season,91.2,1272.8,49.9,1431.9,,,,,1.1,2.2,1.1,2.5,TotgrossUSD/ha/season,,3.5,5.4,3.5,5.6,,,,,,,,,,,,,,,,,Maize,t/ha/season,,,,,,,,,,,,,,,
42,1,1,2,"Khan Z., Hassanali, A., Khamis, T., Overholt, W. Hooper, A., Pickett, J., Wahams, L. and Woodcock, C.",2002,"Control of witchweed Striga hermonthica by intercropping with Desmodium spp., and the mechanism defined as allelopathic.",Journal of Chemical Ecology,East Africa,On-station trial,Kenya,"Mbita, Suba, Nyanza",Mixed Rainfed Humid,Tropic - warm / humid,6,Improved integration into the cropping system,Sole maize,Herbaceous legume,Desmodium uncinatum,,Maize,Forage intercrop/relay w food crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,5.8,,,,,,,,,,,,,,,,,,,Maize,t/ha/season,,,,,,,,,,,,,,,
42,1,1,3,"Khan Z., Hassanali, A., Khamis, T., Overholt, W. Hooper, A., Pickett, J., Wahams, L. and Woodcock, C.",2002,"Control of witchweed Striga hermonthica by intercropping with Desmodium spp., and the mechanism defined as allelopathic.",Journal of Chemical Ecology,East Africa,On-station trial,Kenya,"Mbita, Suba, Nyanza",Mixed Rainfed Humid,Tropic - warm / humid,6,Improved integration into the cropping system,Sole maize,Herbaceous legume,Desmodium intortum,,Maize,Forage intercrop/relay w food crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,6,,,,,,,,,,,,,,,,,,,Maize,t/ha/season,,,,,,,,,,,,,,,
42,1,2,2,"Khan Z., Hassanali, A., Khamis, T., Overholt, W. Hooper, A., Pickett, J., Wahams, L. and Woodcock, C.",2002,"Control of witchweed Striga hermonthica by intercropping with Desmodium spp., and the mechanism defined as allelopathic.",Journal of Chemical Ecology,East Africa,On-station trial,Kenya,"Mbita, Suba, Nyanza",Mixed Rainfed Humid,Tropic - warm / humid,6,Improved integration into the cropping system,Sole maize,Herbaceous legume,Desmodium uncinatum,,Maize,Forage intercrop/relay w food crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62,4.7,2.53,5.2,,,,,,,,,,,,,,,,,Maize,t/ha/season,,,,,,,,,,,,,,,
58,1,1,3,Ayoub A.,1985,The potential contribution of some forage crops to the Nitrogen budget and animal feed in the Sudan Gezira farming system,"In Haque, I., Jutzi, S. and Neatte, P. (eds) (1985). Potentials of Forage Legumes in Farming Systems of Sub-Saharan Africa: Proceedings of a Workshop Held at ILCA, Addis Ababa, Ethiopia, 16-19 September 1985",East Africa,On-station trial,Sudan,Gezira,Mixed Rainfed Arid,Tropic - warm / semiarid,5,Improved integration into the cropping system,Sole sorghum,Herbaceous legume,Phaseolus trilobus,,Sorghum,Forage intercrop/relay w food crop,,1,,,,,,,,,,,,,,,,,,,t/ha,,,,,,0,27.3,,,kg/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sorghum,,,,,,,,,,7,4.9,,,,,tDM/ha
58,1,1,4,Ayoub A.,1985,The potential contribution of some forage crops to the Nitrogen budget and animal feed in the Sudan Gezira farming system,"In Haque, I., Jutzi, S. and Neatte, P. (eds) (1985). Potentials of Forage Legumes in Farming Systems of Sub-Saharan Africa: Proceedings of a Workshop Held at ILCA, Addis Ababa, Ethiopia, 16-19 September 1985",East Africa,On-station trial,Sudan,Gezira,Mixed Rainfed Arid,Tropic - warm / semiarid,5,Improved integration into the cropping system,Sole sorghum,Herbaceous legume,Clitoria ternata,,Sorghum,Forage intercrop/relay w food crop,,0.6,,,,,,,,,,,,,,,,,,,t/ha,,,,,,0,15.1,,,kg/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sorghum,,,,,,,,,,7,4.9,,,,,tDM/ha
65,1,1,2,"Kouame, C., Hoefs, S., Powell, J., Roxas, D., Renards, C.",1991,Intercrop Stylosanthes effects on millet yields and animal performance in the Sahel,"In Stares, J.E. et al (eds) (1992): The complementarity of feed resoures for Animal production in Africa",West Africa,On-station trial,Niger,Sadore,Rangelands Arid,Tropic - warm / semiarid,4,Improved integration into the cropping system,Pure millet,Herbaceous legume,Stylosanthes fruticosa,,Millet,Forage intercrop/relay w food crop,2662,3246,3204,3752,,,,,,,,,,,,,,,,,kg/ha,5.7,9.3,2.9,7.3,%ofDM(yr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080,805,591,407,,,,,,,,,,,,,,,,,Millet,kg/ha/yr,,,,,,,,,,,,,,,
65,1,1,3,"Kouame, C., Hoefs, S., Powell, J., Roxas, D., Renards, C.",1991,Intercrop Stylosanthes effects on millet yields and animal performance in the Sahel,"In Stares, J.E. et al (eds) (1992): The complementarity of feed resoures for Animal production in Africa",West Africa,On-station trial,Niger,Sadore,Rangelands Arid,Tropic - warm / semiarid,4,Improved integration into the cropping system,Pure millet,Herbaceous legume,Stylosanthes hamata,,Millet,Forage intercrop/relay w food crop,2662,5704,3204,4350,,,,,,,,,,,,,,,,,kg/ha,5.7,10.9,2.9,9.5,%ofDM(yr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080,1020,591,414,,,,,,,,,,,,,,,,,Millet,kg/ha/yr,,,,,,,,,,,,,,,
65,1,1,4,"Kouame, C., Hoefs, S., Powell, J., Roxas, D., Renards, C.",1991,Intercrop Stylosanthes effects on millet yields and animal performance in the Sahel,"In Stares, J.E. et al (eds) (1992): The complementarity of feed resoures for Animal production in Africa",West Africa,On-station trial,Niger,Sadore,Rangelands Arid,Tropic - warm / semiarid,4,Improved integration into the cropping system,Pure millet,Herbaceous legume,Stylosanthes fruticosa,,Millet,Forage intercrop/relay w food crop,2662,3126,3204,2999,,,,,,,,,,,,,,,,,kg/ha,5.7,11.1,2.9,6.2,%ofDM(yr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080,613,591,539,,,,,,,,,,,,,,,,,Millet,kg/ha/yr,,,,,,,,,,,,,,,
65,1,1,5,"Kouame, C., Hoefs, S., Powell, J., Roxas, D., Renards, C.",1991,Intercrop Stylosanthes effects on millet yields and animal performance in the Sahel,"In Stares, J.E. et al (eds) (1992): The complementarity of feed resoures for Animal production in Africa",West Africa,On-station trial,Niger,Sadore,Rangelands Arid,Tropic - warm / semiarid,4,Improved integration into the cropping system,Pure millet,Herbaceous legume,Stylosanthes hamata,,Millet,Forage intercrop/relay w food crop,2662,4936,3204,3579,,,,,,,,,,,,,,,,,kg/ha,5.7,11.2,2.9,8.5,%ofDM(yr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080,246,591,341,,,,,,,,,,,,,,,,,Millet,kg/ha/yr,,,,,,,,,,,,,,,
66,1,1,2,"Kusekwa, M., Kyamanywa, R., Ngowi, M.",1992,Fitting forage legumes into the cropping systems of semi-arid Tanzania,"In Stares, J.E. et al (eds) (1992): The complementarity of feed resoures for Animal production in Africa",Southern Africa,On-station trial,Botswana,Mpwapwa,Urban,Tropic - cool / semiarid,,Improved integration into the cropping system,"Sole cereals (maize, millet and sorghum)",Herbaceous legume,Stylosanthes hamata cv. Verano,,"Maize, millet and sorghum",Forage intercrop/relay w food crop,,1,,,,,,,,,,,,,,,,,,,t/ha/season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,4.2,3.6,4.2,,,,,,,,,,,,,,,,,"Maize, millet, sorghum",t/ha/season,,,,,,,,,5.1,5.8,5.3,5.3,,,t/ha/season
66,1,1,5,"Kusekwa, M., Kyamanywa, R., Ngowi, M.",1992,Fitting forage legumes into the cropping systems of semi-arid Tanzania,"In Stares, J.E. et al (eds) (1992): The complementarity of feed resoures for Animal production in Africa",Southern Africa,On-station trial,Botswana,Mpwapwa,Urban,Tropic - cool / semiarid,,Improved integration into the cropping system,"Sole cereals (maize, millet and sorghum)",Herbaceous legume,Macroptilium atropurpureum,,"Maize, millet and sorghum",Forage intercrop/relay w food crop,,4.7,,,,,,,,,,,,,,,,,,,t/ha/season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,4.2,3.6,4.3,,,,,,,,,,,,,,,,,"Maize, millet, sorghum",t/ha/season,,,,,,,,,5.1,5.8,5.3,5,,,t/ha/season
66,1,1,6,"Kusekwa, M., Kyamanywa, R., Ngowi, M.",1992,Fitting forage legumes into the cropping systems of semi-arid Tanzania,"In Stares, J.E. et al (eds) (1992): The complementarity of feed resoures for Animal production in Africa",Southern Africa,On-station trial,Botswana,Mpwapwa,Urban,Tropic - cool / semiarid,,Improved integration into the cropping system,"Sole cereals (maize, millet and sorghum)",Herbaceous legume,Neontonia wightii,,"Maize, millet and sorghum",Forage intercrop/relay w food crop,,1.1,,,,,,,,,,,,,,,,,,,t/ha/season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,3.7,3.6,3.5,,,,,,,,,,,,,,,,,"Maize, millet, sorghum",t/ha/season,,,,,,,,,5.1,5.2,5.3,4.8,,,t/ha/season
66,1,1,7,"Kusekwa, M., Kyamanywa, R., Ngowi, M.",1992,Fitting forage legumes into the cropping systems of semi-arid Tanzania,"In Stares, J.E. et al (eds) (1992): The complementarity of feed resoures for Animal production in Africa",Southern Africa,On-station trial,Botswana,Mpwapwa,Urban,Tropic - cool / semiarid,,Improved integration into the cropping system,"Sole cereals (maize, millet and sorghum)",Herbaceous legume,Stylosanthes scabra (seca),,"Maize, millet and sorghum",Forage intercrop/relay w food crop,,1,,,,,,,,,,,,,,,,,,,t/ha/season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,4.1,,,,,,,,,,,,,,,,,,,"Maize, millet, sorghum",t/ha/season,,,,,,,,,5.1,5.6,,,,,t/ha/season
72,1,1,5,"Njarui, M.",2007,Enhancing livestock feed supply by integrating selected forage legumes in semi-arid region of Eastern Kenya,"PhD thesis Egerton University, Kenya",East Africa,On-station trial,Kenya,Katumani,Mixed Rainfed Humid,Tropic - cool / semiarid,3,Improved integration into the cropping system,Maize with natural fallow,Herbaceous legume,Mucuna pruriens (L.) DC,,Maize,Forage intercrop/relay w food crop,1943,4736,,,2576,5625,,,2235,1746,,,,,,,,,,,kg/ha/season,,,1.67,2.5,%ofDM(season),9,21,5,12,kg/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35591,,,,,,,,TotgrossUSD/ha/yr,10788,,,,,,,,1.43,,,,NetKSH/ha/yr,78,2368,3918,,,1380,1883,,,,,,,,,,,,,,,Maize,kgDM/ha/dryseason,,,,,,,,,3299,5141,1109,1326,1970,3041,kgDM/ha/dryseason
72,1,1,6,"Njarui, M.",2007,Enhancing livestock feed supply by integrating selected forage legumes in semi-arid region of Eastern Kenya,"PhD thesis Egerton University, Kenya",East Africa,On-station trial,Kenya,Katumani,Mixed Rainfed Humid,Tropic - cool / semiarid,3,Improved integration into the cropping system,Maize with natural fallow,Herbaceous legume,Mucuna pruriens (L.) DC,,Maize,Forage intercrop/relay w food crop,1943,4890,,,2576,4799,,,,,,,,,,,,,,,kg/ha/season,,,1.67,2.19,%ofDM(season),9,17,5,12,kg/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35591,68087,,,,,,,TotgrossUSD/ha/yr,10788,35967,,,,,,,1.43,2.12,,,NetKSH/ha/yr,78,2368,4003,,,1380,1944,,,,,,,,,,,,,,,Maize,kgDM/ha/dryseason,,,,,,,,,3299,4790,1109,1446,1970,3426,kgDM/ha/dryseason
72,1,1,7,"Njarui, M.",2007,Enhancing livestock feed supply by integrating selected forage legumes in semi-arid region of Eastern Kenya,"PhD thesis Egerton University, Kenya",East Africa,On-station trial,Kenya,Katumani,Mixed Rainfed Humid,Tropic - cool / semiarid,3,Improved integration into the cropping system,Maize with natural fallow,Herbaceous legume,Mucuna pruriens (L.) DC,,Maize,Forage intercrop/relay w food crop,1943,4868,,,2576,4985,,,,,,,,,,,,,,,kg/ha/season,,,1.67,1.72,%ofDM(season),9,10,5,7,kg/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35591,,,,,,,,TotgrossUSD/ha/yr,10788,,,,,,,,1.43,,,,NetKSH/ha/yr,78,2368,3414,,,1380,1659,,,,,,,,,,,,,,,Maize,kgDM/ha/dryseason,,,,,,,,,3299,3511,1109,1265,1970,2526,kgDM/ha/dryseason
87,1,1,2,"Kouame, C., Powell, J., Renards, C., Quesenerry, K.",1993,"Plant yields and fodder quality related characteristics of millet-stylo intercropping systems in the Sahel.  In: Shetty, S.V et al. (1995). Millet and cowpea in mixed farming systems of the Sahel: A review of strategies for increased productivity and sustainability.",In Powell et al (1995). Livestock and sustainable nutrient cycling in mixed farming systems of Sub-Sahara Africa. Vol. 2:,West Africa,On-farm trial,Niger,Sadore,Rangelands Arid,Tropic - warm / semiarid,,Improved integration into the cropping system,Pure millet,Herbaceous legume,Stylosanthes fruticosa,,Millet,Forage intercrop/relay w food crop,2660,3240,3200,3750,,,,,,,,,,,,,,,,,kg/ha,60,,29,73,g/kgDM(yr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1,1,3,"Kouame, C., Powell, J., Renards, C., Quesenerry, K.",1993,"Plant yields and fodder quality related characteristics of millet-stylo intercropping systems in the Sahel.  In: Shetty, S.V et al. (1995). Millet and cowpea in mixed farming systems of the Sahel: A review of strategies for increased productivity and sustainability.",In Powell et al (1995). Livestock and sustainable nutrient cycling in mixed farming systems of Sub-Sahara Africa. Vol. 2:,West Africa,On-farm trial,Niger,Sadore,Rangelands Arid,Tropic - warm / semiarid,,Improved integration into the cropping system,Pure millet,Herbaceous legume,Stylosanthes fruticosa,,Millet,Forage intercrop/relay w food crop,2660,3120,3200,3000,,,,,,,,,,,,,,,,,kg/ha,60,111,29,64,g/kgDM(yr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1,1,4,"Kouame, C., Powell, J., Renards, C., Quesenerry, K.",1993,"Plant yields and fodder quality related characteristics of millet-stylo intercropping systems in the Sahel.  In: Shetty, S.V et al. (1995). Millet and cowpea in mixed farming systems of the Sahel: A review of strategies for increased productivity and sustainability.",In Powell et al (1995). Livestock and sustainable nutrient cycling in mixed farming systems of Sub-Sahara Africa. Vol. 2:,West Africa,On-farm trial,Niger,Sadore,Rangelands Arid,Tropic - warm / semiarid,,Improved integration into the cropping system,Pure millet,Herbaceous legume,Stylosanthes hamata,,Millet,Forage intercrop/relay w food crop,2660,5700,3200,4350,,,,,,,,,,,,,,,,,kg/ha,60,107,29,95,g/kgDM(yr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1,1,5,"Kouame, C., Powell, J., Renards, C., Quesenerry, K.",1993,"Plant yields and fodder quality related characteristics of millet-stylo intercropping systems in the Sahel.  In: Shetty, S.V et al. (1995). Millet and cowpea in mixed farming systems of the Sahel: A review of strategies for increased productivity and sustainability.",In Powell et al (1995). Livestock and sustainable nutrient cycling in mixed farming systems of Sub-Sahara Africa. Vol. 2:,West Africa,On-farm trial,Niger,Sadore,Rangelands Arid,Tropic - warm / semiarid,,Improved integration into the cropping system,Pure millet,Herbaceous legume,Stylosanthes hamata,,Millet,Forage intercrop/relay w food crop,2660,4940,3200,3580,,,,,,,,,,,,,,,,,kg/ha,60,113,29,85,g/kgDM(yr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,1,1,3,"Mupangwa, W., Nemasasi, H., Muchadeyi, R., Manyawu, G.",2003,Residual effects of forage legumes on subsequent maize yields and soil fertility in smallholder farming sector of Zimbabwe,"In Waddington, S.R (Ed) (2003). Grain legumes and green manures for soil fertility in Southern Africa: Taking Stock of Progress. Proceedings of a conference held 8-11 October 2002 in Vumba, Zimbabwe. Soil Fert Net and CIMMYT, Harare, Zimbabwe. 246 p.",Southern Africa,On-farm trial,Zimbabwe,"Chamatendre, Madzimbabwe and Buhera wards in Wedza and Gaza Munyanyi Districts",Mixed Rainfed Arid,Tropic - cool / semiarid,3,Improved integration into the cropping system,Sole maize,Herbaceous legume,Mucuna pruriens,,Maize,Forage intercrop/relay w food crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.41,%,,,,,,,,,,,,,,,,,,,,,,,,2.27,4.42,,,,,,,,,,,,,,,,,,,Maize,t/ha/season,,,,,,,,,,,,,,,
106,2,1,3,"Mupangwa, W., Nemasasi, H., Muchadeyi, R., Manyawu, G.",2003,Residual effects of forage legumes on subsequent maize yields and soil fertility in smallholder farming sector of Zimbabwe,"In Waddington, S.R (Ed) (2003). Grain legumes and green manures for soil fertility in Southern Africa: Taking Stock of Progress. Proceedings of a conference held 8-11 October 2002 in Vumba, Zimbabwe. Soil Fert Net and CIMMYT, Harare, Zimbabwe. 246 p.",Southern Africa,On-farm trial,Zimbabwe,Chamatendre,Mixed Rainfed Arid,Tropic - cool / semiarid,3,Improved integration into the cropping system,Sole maize,Herbaceous legume,Mucuna pruriens,,Maize,Forage intercrop/relay w food crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.37,%,,,,,,,,,,,,,,,,,,,,,,,,1.5,2.4,,,,,,,,,,,,,,,,,,,Maize,t/ha/season,,,,,,,,,,,,,,,
