field_name,data_type,description,Example
exp_duration,Numeric,"Length of time the experiment has been ongoing up to the date the data are being reported for in years. In bimodal rainfall systems with multiple growing seasons, seasons are identified by fractions of the year, 0.5, etc. If outcomes are reported in a unimodal rainfall system with one growing season per year, the duration can be equivalent to one year.",0.5 1 5
time_raw,NA,Complete with the specific time period name the study provide,NA
time_year_start,NA,Year when the experiment started. Year Start as stated by the author,NA
time_year_end,NA,Year when the experiment stopped. Year End as stated by the author,NA
time_season,NA,Season as stated by the author,NA
C_subpractice_description_raw,Character,Free text description of the control practice practice. Use sufficient detail to easily identify the practices.,Conventional tillage with 20 kg N/ha
T_subpractice_description_raw,Character,Free text description of the treatment practice. Use sufficient detail to easily identify all the component practices.,Reduced tillage with mulch
C_system_type,Character,NA,NA
T_system_type,Character,NA,NA
C_crop_tree_diversity,Character,"Name of crop species present in the control system. Record crop names using common names with the first letter capitalized and the remaining letters in lowercase. When multiple crops are present, separate species using a dash (-) for intercrops and a forward slash (/) for rotations. Maintain the order in which crops occur within the system.",Maize-cowpea/groundnut
C_crop_tree_variety,Character,"Commercial or local name of the crop variety associated with each crop listed in C_crop_diversity (e.g., Katumani, G2333, Maasai Red). When multiple varieties of the same crop are present, separate varieties using an asterisk (*). When multiple crops are present, record varieties in the same crop order and using the same separators as C_crop_diversity, where - denotes intercrops and / denotes rotations.",Maize(TZR-EW)-Soybean(TGx 1448-2E)
C_crop_tree_density,Character,"Planting density for each crop listed in C_crop_diversity. Density values must follow the same crop order and separator structure as C_crop_diversity, where - denotes intercrops and / denotes rotations. Record each entry using the format value(unit). If planting density is not reported for a crop, record NA.",Soybean[44000(plants/ha)]/Maize[444444(plants/ha)]
T_crop_tree_diversity,Character,"Name of crop species present in the intervention (treatment) system. Record crop names using common names with the first letter capitalized and the remaining letters in lowercase. When multiple crops are present, separate species using a dash (-) for intercrops and a forward slash (/) for rotations. Maintain the order in which crops occur within the system.",Maize-cowpea/groundnut
T_crop_tree_variety,Character,"Commercial or local name of the crop variety associated with each crop listed in T_crop_diversity (e.g., Katumani, G2333, Maasai Red). When multiple varieties of the same crop are present, separate varieties using an asterisk (*). When multiple crops are present, record varieties in the same crop order and using the same separators as T_crop_diversity, where - denotes intercrops and / denotes rotations.",Maize(TZR-EW)-Soybean(TGx 1448-2E)
T_crop_tree_density,Character,"Planting density for each crop listed in T_crop_diversity. Density values must follow the same crop order and separator structure as T_crop_diversity, where - denotes intercrops and / denotes rotations. Record each entry using the format value(unit). If planting density is not reported for a crop, record NA.",Soybean[44000(plants/ha)]/Maize[444444(plants/ha)]
C_animal_diversity,Character,"Name of animal species present in the control system. Record common names with the first letter capitalized and the remaining letters in lowercase (e.g., Cattle, Goat, Chicken). When multiple animal species are present, separate species using a dash (-) for species managed simultaneously and a forward slash (/) for species managed sequentially or in rotation within the production system. Maintain the order in which species occur within the system.",Cattle-Goat/Chicken
C_animal_breed,Character,"Breed or variety associated with each animal species listed in C_animal_diversity (e.g., Holstein, Boer, Rhode Island Red). When multiple breeds of the same species are present, separate breeds using an asterisk (*). When multiple animal species are present, record breeds in the same species order and using the same separators as C_animal_diversity, where - denotes species managed simultaneously and / denotes species managed sequentially.",Holstein-Boer/Rhode Island Red
C_animal_density,Character,"Stocking density for each animal species listed in C_animal_diversity. Density values must follow the same species order and separator structure as C_animal_diversity, where - denotes species managed simultaneously and / denotes species managed sequentially. Record each entry using the format value(unit). If stocking density is not reported for a species, record NA.",2(head/ha)-5(head/ha)/15(birds/ha)
T_animal_diversity,Character,"Name of animal species present in the intervention (treatment) system. Record common names with the first letter capitalized and the remaining letters in lowercase. When multiple animal species are present, separate species using a dash (-) for species managed simultaneously and a forward slash (/) for species managed sequentially within the production system. Maintain the order in which species occur within the system.",Cattle-Goat/Chicken
T_animal_breed,Character,"Breed or variety associated with each animal species listed in T_animal_diversity (e.g., Holstein, Boer, Rhode Island Red). When multiple breeds of the same species are present, separate breeds using an asterisk (*). When multiple animal species are present, record breeds in the same species order and using the same separators as T_animal_diversity, where - denotes species managed simultaneously and / denotes species managed sequentially.",Holstein*Jersey-Boer/Rhode Island Red
T_animal_density,Character,"Stocking density for each animal species listed in T_animal_diversity. Density values must follow the same species order and separator structure as T_animal_diversity, where - denotes species managed simultaneously and / denotes species managed sequentially. Record each entry using the format value(unit). If stocking density is not reported for a species, record NA.",2(head/ha)-NA/15(birds/ha)
C_tillage_subpractice_raw,Character,"Complete with an easy to recognize name for the tillage practice, you will use this name to reference it when building treatments later in the extraction process. Avoid using special characters.",NA
C_tillage_subpractice,Character,"Name of the tillage practice implemented in the control system (e.g., Conventional tillage, Reduced tillage, No-tillage, Strip tillage). Record the specific tillage practice used to prepare the soil prior to planting or during crop establishment.",Conventional tillage
C_tillage_method,Character,"Tillage method or implement used to perform the tillage operation in the control system (e.g., Moldboard plough, Disc plough, Chisel plough, Hand hoe, Animal-drawn plough). Record the primary implement or technique used for soil preparation.",Moldboard plough
C_tillage_method_other,Character,Other soil preparation methods used in the control system that are not captured by the predefined categories in C_tillage_method. Provide a short description of the method or implement used.,Ripper tine
C_tillage_depth,Character,"Depth at which the soil is tilled in the control system, reported in centimeters. Record the depth as value(cm). If multiple depths are reported for different operations, record them in the order reported in the study. If not reported, record NA.",20
C_tillage_frequency,Character,"Number of times the land was tilled during one experimental season in the control system. Record the number of tillage operations performed within the cropping season. If not reported, record NA.",2
T_tillage_subpractice_raw,Character,"Complete with an easy to recognize name for the tillage practice, you will use this name to reference it when building treatments later in the extraction process. Avoid using special characters.",NA
T_tillage_subpractice,Character,"Name of the tillage practice implemented in the intervention (treatment) system (e.g., Conventional tillage, Reduced tillage, No-tillage, Strip tillage). Record the specific tillage practice used to prepare the soil prior to planting or during crop establishment.",No-tillage
T_tillage_method,Character,"Tillage method or implement used to perform the tillage operation in the intervention system (e.g., Direct seeder, Strip tiller, Hand hoe, Chisel plough). Record the primary implement or technique used for soil preparation.",Direct seeder
T_tillage_method_other,Character,Other soil preparation methods used in the intervention system that are not captured by the predefined categories in T_tillage_method. Provide a short description of the method or implement used.,Manual planting stick
T_tillage_depth,Character,"Depth at which the soil is tilled in the intervention system, reported in centimeters. Record the depth as value(cm). If the system involves no soil disturbance (e.g., no-tillage), record 0(cm) or NA if depth is not applicable.",0(cm)
T_tillage_frequency,Character,"Number of times the land was tilled during one experimental season in the intervention system. Record the number of tillage operations performed within the cropping season. If not reported, record NA.",0
C_planting_subpractice_raw,NA,NA,NA
C_planting_subpractice,Character,"Name of the planting subpractice implemented in the control system. Record the specific planting approach used for crop establishment (e.g., Direct seeding, Transplanting, Dibbling, Broadcasting, Row planting).",NA
C_planting_method,Character,"Planting method or technique used to establish crops in the control system (e.g., Hand planting, Mechanical planter, Broadcasting by hand, Dibbling with stick). Record the primary method used to place seeds or seedlings in the field.",NA
C_planting_date_start,Character,"Start date of the planting period in the control system. Record dates using the format DD/MM/YYYY-DD/MM/YYYY, where the first date indicates the beginning of planting and the second date indicates the end of planting. If planting occurred on a single day, record the same date twice. If not reported, record NA.",15/05/18-18/05/18
C_planting_date_end,Character,"end date of the planting period in the control system. Record dates using the format DD/MM/YYYY-DD/MM/YYYY, where the first date indicates the beginning of planting and the second date indicates the end of planting. If planting occurred on a single day, record the same date twice. If not reported, record NA.",NA
T_planting_subpractice_raw,NA,NA,NA
T_planting_subpractice,Character,"Name of the planting subpractice implemented in the intervention (treatment) system. Record the specific planting approach used for crop establishment (e.g., Direct seeding, Transplanting, Dibbling, Broadcasting, Row planting).",Direct seeding
T_planting_method,Character,"Planting method or technique used to establish crops in the intervention system (e.g., Hand planting, Mechanical planter, Dibbling with stick, Nursery transplanting). Record the primary method used to place seeds or seedlings in the field.",Hand planting in rows
T_planting_date_start,Character,"Start date of the planting period in the intervention system. Record dates using the format dd/mm/yy-dd/mm/yy, where the first date indicates the beginning of planting and the second date indicates the end of planting. If planting occurred on a single day, record the same date twice. If not reported, record NA.",10/05/18-12/05/18
T_planting_date_end,Character,"end date of the planting period in the intervention system. Record dates using the format dd/mm/yy-dd/mm/yy, where the first date indicates the beginning of planting and the second date indicates the end of planting. If planting occurred on a single day, record the same date twice. If not reported, record NA.",NA
C_varietal_crop_subpractice_raw,NA,NA,NA
C_varietal_crop_variety,Character,"Name of the crop variety or cultivar used in the control system. Record the commercial or commonly reported name of the variety (e.g., Katumani, G2333, Hybrid 614). If the variety name is not reported, record NA.",Common Bean(NABE 10C)
C_varietal_crop_subpractice,Character,"Breeding category of the crop variety used in the control system. Indicate whether the variety is Improved, Hybrid, Unimproved, or another category reported in the study. This variable captures the varietal management practice being compared in the experiment.",Improved Seeds
C_varietal_crop_type,Character,"Specific agronomic or genetic trait of the crop variety used in the control system, if reported (e.g., drought tolerant, pest resistant, early maturing, high yielding). Record any relevant characteristic mentioned in the study. If multiple crops are present, record traits in the same crop order and using the same separators as C_crop_diversity. If not reported, record NA.",NA
