crop_diversity,Product.Type,SPAM.Food.Group,FAO.Food.Group
African Nightshade,NA,NA,NA
Amaranth,NA,NA,NA
Apple,NA,NA,NA
Arabica,NA,NA,NA
Asparagus,NA,NA,NA
Bambara Nut,NA,NA,NA
Banana Sweet,NA,NA,NA
Barbicou Bean,NA,NA,NA
Black Gram,NA,NA,NA
Black oats,NA,NA,NA
Brachiaria decumben,NA,NA,NA
Brachiaria humidicola,NA,NA,NA
Butter Bean,NA,NA,NA
Calabash,NA,NA,NA
Capsicum,NA,NA,NA
Cardamom,NA,NA,NA
Carrot & Parsnip,NA,NA,NA
Cashew Nut,NA,NA,NA
Castor,NA,NA,NA
Clitoria ternatea,NA,NA,NA
Congo Grass,NA,NA,NA
Cooking Banana,NA,NA,NA
Cookstove,NA,NA,NA
Crotalaria retusa,NA,NA,NA
Crotalaria spectabilis,NA,NA,NA
Cucumber,NA,NA,NA
Desho Grass,NA,NA,NA
Durum Wheat,NA,NA,NA
Egyptian Clover,NA,NA,NA
Ethiopian Eggplant,NA,NA,NA
Ethiopian Mustard,NA,NA,NA
Fallow,NA,NA,NA
Fennel,NA,NA,NA
Fenugreek,NA,NA,NA
Fodder (Natural Vegetation),NA,NA,NA
Fodder Radish,NA,NA,NA
Ginger,NA,NA,NA
Gliricidia sp,NA,NA,NA
Glyricidia sepium,NA,NA,NA
Grazing Vetch,NA,NA,NA
Guinea Grass,NA,NA,NA
Hairy Vetch,NA,NA,NA
Horsegram,NA,NA,NA
Huckleberry,NA,NA,NA
Indian Pea,NA,NA,NA
Jack Bean,NA,NA,NA
Kale,NA,NA,NA
Kikuyu Grass,NA,NA,NA
Kola Nut,NA,NA,NA
Lablab,NA,NA,NA
Lemon & Lime,NA,NA,NA
Lettuce,NA,NA,NA
Lupin,NA,NA,NA
Medicago scutellata,NA,NA,NA
Medicago truncatula,NA,NA,NA
Moringa,NA,NA,NA
Mucuna,NA,NA,NA
Natural Fallow,NA,NA,NA
New Cocoyam,NA,NA,NA
Niger,NA,NA,NA
Okra,NA,NA,NA
Ornithopus sativus,NA,NA,NA
Other Fuel,NA,NA,NA
Other Millet,NA,NA,NA
Palisade Grass,NA,NA,NA
Palm Oil,NA,NA,NA
Panicum antidotale,NA,NA,NA
Parsnip,NA,NA,NA
Passionfruit,NA,NA,NA
Patula Pine,NA,NA,NA
Peach & Nectarine,NA,NA,NA
Pepper,NA,NA,NA
Pineapple,NA,NA,NA
Poupartia silvatica,NA,NA,NA
Pumpkin,NA,NA,NA
Quinoa,NA,NA,NA
Radish,NA,NA,NA
Rape,NA,NA,NA
Rice Bean,NA,NA,NA
Robusta,NA,NA,NA
Rubber,NA,NA,NA
Ruzigrass,NA,NA,NA
Ryegrass sp,NA,NA,NA
Seed,NA,NA,NA
Shea Nut,NA,NA,NA
Silverleaf,NA,NA,NA
Spinach,NA,NA,NA
Squash (C.Moschata),NA,NA,NA
Strawberry,NA,NA,NA
Stylosanthes capitata,NA,NA,NA
Stylosanthes guianensi,NA,NA,NA
Sudan grass,NA,NA,NA
Swiss Chard,NA,NA,NA
Tall Fescue,NA,NA,NA
Tarenna sp,NA,NA,NA
Tick Clover sp,NA,NA,NA
Trifolium subterraneum,NA,NA,NA
Turkey berry,NA,NA,NA
Unknown Plant,NA,NA,NA
Unspecified Cover Crop,NA,NA,NA
Urochloa decumben,NA,NA,NA
Urochloa eminii,NA,NA,NA
Velvet Bean,NA,NA,NA
Vetiver Grass,NA,NA,NA
Vicia villosa,NA,NA,NA
Water Yam,NA,NA,NA
Winter Vetch,NA,NA,NA
Yacon,NA,NA,NA
Zucchini,NA,NA,NA
