"code","broader","label_en","label_fr","label_es","label_ru","alternative","definition","note","uri"
"3.02.04","3.02","Tangerines mandarins, clementines","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-02-04"
"3.02.90","3.02","Other citrus fruits, n.e.c.","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-02-90"
"3.03","3","Grapes","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-03"
"3.04","3","Berries","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-04"
"3.04.01","3.04","Currants","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-04-01"
"3.04.02","3.04","Gooseberries","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-04-02"
"3.04.03","3.04","Kiwi fruit","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-04-03"
"3.04.04","3.04","Raspberries","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-04-04"
"3.04.05","3.04","Strawberries","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-04-05"
"3.04.06","3.04","Blueberries","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-04-06"
"3.04.07","3.04","Cranberries","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-04-07"
"3.04.90","3.04","Other berries, n.e.c","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-04-90"
"3.05","3","Pome fruits and stone fruits","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-05"
"3.05.01","3.05","Apples","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-05-01"
"3.05.02","3.05","Apricots","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-05-02"
"3.05.03","3.05","Cherries and sour cherries","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-05-03"
"3.05.04","3.05","Peaches and nectarines","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-05-04"
"3.05.05","3.05","Pears and quinces","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-05-05"
"3.05.06","3.05","Plums and sloes","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-05-06"
"3.05.90","3.05","Other pome fruits and stone fruits, n.e.c.","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-05-90"
"3.06","3","Nuts","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-06"
"3.06.01","3.06","Almonds","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-06-01"
"3.06.02","3.06","Cashew nuts","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-06-02"
"3.06.03","3.06","Chestnuts","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-06-03"
"3.06.04","3.06","Hazelnuts","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-06-04"
"3.06.05","3.06","Pistachios","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-06-05"
"3.06.06","3.06","Walnuts","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-06-06"
"3.06.07","3.06","Brazil nuts","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-06-07"
"3.06.08","3.06","Areca nuts","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-06-08"
"3.06.09","3.06","Cola nuts","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-06-09"
"3.06.90","3.06","Other nuts, n.e.c.","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-06-90"
"3.9","3","Other fruits, n.e.c.","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-9"
"4","","Oilseed crops and oleaginous fruits","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/4"
"4.01","4","Soya beans","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/4-01"
"4.02","4","Groundnuts","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/4-02"
"4.03","4","Other temporary oilseed crops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/4-03"
"4.03.01","4.03","Castor bean","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/4-03-01"
"4.03.02","4.03","Linseed","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/4-03-02"
"4.03.03","4.03","Mustard","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/4-03-03"
"4.03.04","4.03","Niger seed","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/4-03-04"
"4.03.05","4.03","Rapeseed","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/4-03-05"
"4.03.06","4.03","Safflower","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/4-03-06"
"4.03.07","4.03","Sesame","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/4-03-07"
"4.03.08","4.03","Sunflower","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/4-03-08"
