authors,doi,C_product,T_product,T_product_simple,C_product_simple,out_subindicator,T_out_sample_size,C_out_mean,C_out_sd,T_out_mean,T_out_sd,T_out_cv,C_out_cv,has_sd,T_out_cv_average,C_out_cv_average,T_out_cv_filled,C_out_cv_filled,lnRR_all_cases,var_all_cases,lnRR_missing_cases,var_missing_cases
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,63.3,NA,87.2,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.32224188512198154,0.01237279505346345,0.32224188512198154,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,63.3,NA,76.5,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.19132829503953785,0.01237279505346345,0.19132829503953785,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,63.3,NA,75.8,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.18213584685537354,0.01237279505346345,0.18213584685537354,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,63.3,NA,65.8,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.040657392538319084,0.01237279505346345,0.040657392538319084,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,63.3,NA,60.8,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,-0.03837265682083111,0.01237279505346345,-0.03837265682083111,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,89.6,NA,105.3,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.1633809825162232,0.01237279505346345,0.1633809825162232,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,89.6,NA,140.9,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.4546179822809279,0.01237279505346345,0.4546179822809279,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,89.6,NA,145.4,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.4860561284757123,0.01237279505346345,0.4860561284757123,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,89.6,NA,156.1,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.5570643908976797,0.01237279505346345,0.5570643908976797,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,89.6,NA,185.8,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.7312383897560315,0.01237279505346345,0.7312383897560315,0.01237279505346345
